"Character","Realm","Condition 1","1 - Points","Condition 2","2 - Points","Condition 3","3 - Points","Condition 4","4 - Points","Condition 5","5 - Points","Condition 6","6 - Points","Condition 7","7 - Points","Condition 8","8 - Points","Condition 9","9 - Points","GL","✓"
"Montblanc","FFT","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 MAG Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Meliadoul","FFT","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Gaffgarion","FFT","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Marach","FFT","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 MAG Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Orran","FFT","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","Use 30 MND Crystal Waters","10","✓","✓"
"Ace","Type-0","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Unlock 10 Record Board tiles","15","Unlock 20 Record Board tiles","15","Use 30 HP Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 MAG Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Machina","Type-0","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Rem","Type-0","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Unlock 10 Record Board tiles","15","Unlock 20 Record Board tiles","15","Use 30 HP Crystal Waters","10","Use 30 MAG Crystal Waters","10","Use 30 RES Crystal Waters","10","Use 30 MND Crystal Waters","10","✓","✓"
"Deuce","Type-0","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","Use 30 MND Crystal Waters","10","✓","✓"
"King","Type-0","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Unlock 10 Record Board tiles","15","Unlock 20 Record Board tiles","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Cinque","Type-0","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Unlock 10 Record Board tiles","15","Unlock 20 Record Board tiles","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Queen","Type-0","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Cater","Type-0","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Unlock 10 Record Board tiles","15","Unlock 20 Record Board tiles","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Trey","Type-0","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Eight","Type-0","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Sice","Type-0","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Unlock 10 Record Board tiles","15","Unlock 20 Record Board tiles","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Seven","Type-0","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Unlock 10 Record Board tiles","15","Unlock 20 Record Board tiles","15","Use 30 HP Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 MAG Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Jack","Type-0","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Nine","Type-0","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
