"Magicite","Img","Name","0","1","2","3","Type","Auto Target","Formula","Multiplier","Element","Time","Effects","Counter","Name (JP)","ID","GL","✓"
"Shinryu Celestia (Ultra Attack)","","Dragon's Breath: Physical","100%","100%","100%","100%","PHY","Lowest HP% enemy","Physical","","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison","","One single ranged attack (?) capped at 99999, ignores DEF","N","神龍の息吹・攻","","",""
"Shinryu Celestia (Ultra Magic)","","Dragon's Breath: Magic","100%","100%","100%","100%","BLK","Lowest HP% enemy","Magical","","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison","","One single attack (?) capped at 99999, ignores RES","N","神龍の息吹・魔","","",""
"Warring Bahamut ZERO (Ultra Attack)","","Warring Mega Flare: Physical","100%","100%","100%","100%","PHY","Lowest HP% enemy","Physical","","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison","","One single ranged attack (?) capped at 199999, ignores DEF","N","軍神メガフレア・攻","","",""
"Warring Bahamut ZERO (Ultra Magic)","","Warring Mega Flare: Magic","100%","100%","100%","100%","BLK","Lowest HP% enemy","Magical","","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison","","One single attack (?) capped at 199999, ignores RES","N","軍神メガフレア・魔","","",""
"Anima (Ultra Attack)","","Pain: Physical","100%","100%","100%","100%","PHY","Lowest HP% enemy","Physical","","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison","","One single ranged attack (?) capped at 99999, ignores DEF, causes [Pain 10%]","N","ペイン・攻","","",""
"Anima (Ultra Magic)","","Pain: Magic","100%","100%","100%","100%","BLK","Lowest HP% enemy","Magical","","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison","","One single attack (?) capped at 99999, ignores RES, causes [Pain 10%]","N","ペイン・魔","","",""
"Magus Sisters (Ultra Attack)","","Razzia: Physical","50%","50%","50%","50%","PHY","Lowest HP% enemy","Physical","","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison","","One single ranged attack (?) capped at 199999, ignores DEF, grants [DEF and RES 50% Piercing 1] to all allies","N","シュメルツェンド・攻","","",""
"Magus Sisters (Ultra Attack)","","Camisade: Physical","30%","30%","30%","30%","PHY","Lowest HP% enemy","Physical","","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison","","One single ranged attack (?) capped at 199999, ignores DEF, grants [200% ATB 1] to all allies","N","アングルティール・攻","","",""
"Magus Sisters (Ultra Attack)","","Passado: Physical","20%","20%","20%","20%","PHY","Lowest HP% enemy","Physical","","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison","","One single ranged attack (?) capped at 199999, ignores DEF, grants [Dualcast Prismatic 1] to all allies","N","リトルナーレ・攻","","",""
"Magus Sisters (Ultra Magic)","","Razzia: Magic","50%","50%","50%","50%","BLK","Lowest HP% enemy","Magical","","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison","","One single attack (?) capped at 199999, ignores RES, grants [DEF and RES 50% Piercing 1] to all allies","N","シュメルツェンド・魔","","",""
"Magus Sisters (Ultra Magic)","","Camisade: Magic","30%","30%","30%","30%","BLK","Lowest HP% enemy","Magical","","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison","","One single attack (?) capped at 199999, ignores RES, grants [200% ATB 1] to all allies","N","アングルティール・魔","","",""
"Magus Sisters (Ultra Magic)","","Passado: Magic","20%","20%","20%","20%","BLK","Lowest HP% enemy","Magical","","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison","","One single attack (?) capped at 199999, ignores RES, grants [Dualcast Prismatic 1] to all allies","N","リトルナーレ・魔","","",""
"Historia Crystal","","Historia Burst 1","100%","0%","0%","0%","NAT","Lowest HP% enemy","","","","1.00","One single attack that deals 5000 damage","N","ヒストリアバースト","","✓","✓"
"Historia Crystal","","Historia Burst 2","0%","100%","0%","0%","NAT","Lowest HP% enemy","","","","1.00","One single attack that deals 10000 damage, causes [Imperil Prismatic 10% (15s)]","N","ヒストリアバースト","","✓","✓"
"Historia Crystal","","Historia Burst 3","0%","0%","100%","0%","NAT","Lowest HP% enemy","","","","1.00","One single attack that deals 20000 damage, causes [Imperil Prismatic 10% (15s)]","N","ヒストリアバースト","","✓","✓"
"Historia Crystal","","Historia Burst 4","0%","0%","0%","100%","NAT","Lowest HP% enemy","","","","1.00","One single attack that deals 30000 damage, causes [Imperil Prismatic 10% (15s)]","N","ヒストリアバースト","","✓","✓"
