"Source Type","Source","Img","Name","Type","Target","Formula","Multiplier","Element","Time","Effects","Counter","Auto Target","SB","School","ID","GL","✓"
"Follow-Up Status","Dual Awoken Dual Job Mode II (Lenna)","","Dual Gentle Vow","WHT","All allies","","","","0.01","Restores HP (55), grants [Regenga] and [Quick Cast 1]","N","All allies","0","White Magic","31541578","✓","✓"
"Follow-Up Status","Dual Spellblade Earth Flurry Mode","","Dual Spellblade Earth Flurry","PHY","Single enemy","Physical","2.95","Earth, NE","0.01","Five single attacks (0.59 each), 100% hit rate","Y","Lowest HP% enemy","0","Spellblade","31541615","✓","✓"
"Follow-Up Status","Dual Awoken Fire Mode I (Gilgamesh)","","Dual Ironfire","NAT","Single enemy","","","","0.01","Causes [Imperil Fire 10% (5s)], grants [Buff Fire 10% (15s)] to all allies every third cast","N","Lowest HP% enemy","0","Samurai","31541686","✓","✓"
"Follow-Up Status","Dual Awoken Fire Mode II (Gilgamesh)","","Dual Flame Slash","PHY","Single enemy","Physical","","Fire, NE","0.01","4/6/10 single attacks (0.41 each) after 1/2/3+ uses, 100% additional critical chance, 100% hit rate, grants [Retaliate] to the user","Y","Lowest HP% enemy","0","Samurai","31541687","✓","✓"
"Follow-Up Status","Dual Awoken Spellblade Mode I: Bartz - Fire","","Dual Spellblade Firedance","PHY","Single enemy","Physical","4.26","Fire, NE","0.01","Six single attacks (0.64 each), 0.71 if exploiting Fire weakness","Y","Lowest HP% enemy","0","Spellblade","31541863","✓","✓"
"Follow-Up Status","Dual Awoken Earth Mode I (Galuf)","","Dual Dawn Strikes","PHY","Single enemy","Physical","4.08","Earth, NE","0.01","Four single attacks (1.02 each), 100% hit rate, causes [Imperil Earth 10% (15s)]","Y","Lowest HP% enemy","0","Monk","31541964","","✓"
"Follow-Up Status","Chain Force Mode: Galuf","","Earth Guidance: Galuf","PHY","Single enemy","Physical","0.96","Earth, NE","0.01","Three single attacks (0.32 each), 100% hit rate","Y","Lowest HP% enemy","0","Monk","31541969","","✓"
"Follow-Up Status","Dual Awoken Water Mode I (Gogo (V))","","Dual Trench Mimicry","BLK","Single enemy","Magical","8.16","Water, NE","0.01","Four single attacks (2.04 each), causes [DEF, RES and MND -50% (8s)] every second use, grants [Quick Cast 1] to all allies","Y","Lowest HP% enemy","0","Black Magic","31542050","","✓"
"Follow-Up Status","Dual Awoken Ninja Mode II (Kelger)","","Dual Lupine Shock","PHY","Single enemy","Physical","4.45","Earth, NE","0.01","One single attack (4.45), ignores DEF, 100% hit rate","Y","Lowest HP% enemy","0","Ninja","31542138","","✓"
"Follow-Up Status","Chain Force Mode: Kelger","","Earth Guidance: Kelger","PHY","Single enemy","Physical","1.28","Earth, NE","0.01","Four single attacks (0.32 each), 100% hit rate","Y","Lowest HP% enemy","0","Ninja","31542140","","✓"
"Follow-Up Status","Dual Awoken Spellblade Mode I (Bartz - Water)","","Spellblade Dance: Water","PHY","Single enemy","Physical","3.36","Water, NE","0.01","One single attack (3.36) capped at 99999, 100% hit rate","Y","Lowest HP% enemy","0","Spellblade","31542471","","✓"
"Follow-Up Status","Dual Awoken Spellblade Mode II (Bartz - Water)","","Dual Waterblade","PHY","Single enemy","Physical","2.64","Water, NE","0.01","One single attack (2.64) capped at 99999 100% hit rate, grants [Dualcast Spellblade 1] to the user/all allies if 0-3/4+ allies with Job Synergy are alive","Y","Lowest HP% enemy","0","Spellblade","31542472","","✓"
"Follow-Up Status","Enlightened Yearning EX Mode","","Trance Wind","BLK","Single enemy","Magical","7.92","Wind, NE","0.01","Six single attacks (1.32 each)","Y","Lowest HP% enemy","0","Black Magic","30541259","✓","✓"
"Follow-Up Status","Flame Hunt Follow-Up","","Flame Hunt","PHY","Single enemy","Physical","1.20","Fire, NE","0.01","One single attack (1.20), 35% chance to cause [Imperil Fire 10%] for 15 seconds","Y","Lowest HP% enemy","0","Thief","30548031","✓","✓"
"Follow-Up Status","Adventurer EX Mode","","Valiant Flame","PHY","Single enemy","Physical","1.40","Fire, NE","0.01","4/5/6/7/8 single ranged attacks (0.35 each) if the user's HP is below 100/80/60/40/20%, 100% hit rate","Y","Lowest HP% enemy","0","Thief","30548036","✓","✓"
"Follow-Up Status","Mog Step Follow-Up","","Mog Step","NAT","All allies","","","","0.01","Restores 1500 HP, removes negative effects","N","All allies","0","Dancer","","",""
"Follow-Up Status","Machinist EX Mode","","Poison Enfeeble","PHY","Single enemy","Physical","1.17","Poison, NE","0.01","Three single attacks (0.39 each), 35% chance to cause [Imperil Poison 10%] for 15 seconds, 100% hit rate","Y","Lowest HP% enemy","0","Machinist","30549057","✓","✓"
"Follow-Up Status","Machinist EX Mode","","Fire Enfeeble","PHY","Single enemy","Physical","1.17","Fire, NE","0.01","Three single attacks (0.39 each), 35% chance to cause [Imperil Fire 10%] for 15 seconds, 100% hit rate","Y","Lowest HP% enemy","0","Machinist","30549058","✓","✓"
"Follow-Up Status","Machinist EX Mode","","Lightning Enfeeble","PHY","Single enemy","Physical","1.17","Lightning, NE","0.01","Three single attacks (0.39 each), 35% chance to cause [Imperil Lightning 10%] for 15 seconds, 100% hit rate","Y","Lowest HP% enemy","0","Machinist","30549059","✓","✓"
"Follow-Up Status","Firebird Strike Follow-Up","","Firebird Strike","PHY","Single enemy","Physical","2.10","Fire, NE","0.01","3/4/5/6 single attacks (0.35 each) at 492/780/1014 ATK","Y","Lowest HP% enemy","0","Monk","30544017","✓","✓"
"Follow-Up Status","Abandoned Past","","Vanishing Blade","PHY","Single enemy","Physical","4.32","Dark, NE","0.01","1/1/2 single attacks (2.16 each) if the user has Physical Blink 0/1/2, 100% hit rate","Y","Lowest HP% enemy","0","Ninja","30511856","✓","✓"
"Follow-Up Status","Dark Assassination Follow-Up","","Dark Assassination","PHY","Single enemy","Physical","2.56","Dark, NE","0.01","4/6/8 single ranged attacks (0.32 each) if the user has Physical Blink 0/1/2, 100% hit rate","Y","Lowest HP% enemy","0","Ninja","30549125","✓","✓"
"Follow-Up Status","Gambling Break","","Deadly Spade","PHY","Single enemy","Physical","0.50","-","0.01","Two single ranged attacks (0.25 each), [ATK -40%] for 15 seconds","Y","Lowest HP% enemy","0","Support","30511813","✓","✓"
"Follow-Up Status","Gambling Break","","Deadly Club","PHY","Single enemy","Physical","0.50","-","0.01","Two single ranged attacks (0.25 each), [DEF -40%] for 15 seconds","Y","Lowest HP% enemy","0","Support","30511813","✓","✓"
"Follow-Up Status","Gambling Break","","Deadly Diamond","PHY","Single enemy","Physical","0.50","-","0.01","Two single ranged attacks (0.25 each), [MAG -50%] for 15 seconds","Y","Lowest HP% enemy","0","Support","30511813","✓","✓"
"Follow-Up Status","Gambling Break","","Deadly Heart","PHY","Single enemy","Physical","0.50","-","0.01","Two single ranged attacks (0.25 each), [RES -50%] for 15 seconds","Y","Lowest HP% enemy","0","Support","30511813","✓","✓"
"Follow-Up Status","Darkness Card Follow-Up","","Darkness Card 1","PHY","Single enemy","Physical","1.71","Dark, NE","0.01","Three single ranged attacks (0.57 each), [ATK -40%] for 15 seconds, 100% hit rate","Y","Lowest HP% enemy","0","Support","30545055","","✓"
"Follow-Up Status","Darkness Card Follow-Up","","Darkness Card 2","PHY","Single enemy","Physical","1.71","Dark, NE","0.01","Three single ranged attacks (0.57 each), [MAG -50%] for 15 seconds, 100% hit rate","Y","Lowest HP% enemy","0","Support","30545056","","✓"
"Follow-Up Status","Darkness Card Follow-Up","","Darkness Card 3","PHY","Single enemy","Physical","1.71","Dark, NE","0.01","Three single ranged attacks (0.57 each), [DEF -40%] for 15 seconds, 100% hit rate","Y","Lowest HP% enemy","0","Support","30545057","","✓"
"Follow-Up Status","Darkness Card Follow-Up","","Darkness Card 4","PHY","Single enemy","Physical","1.71","Dark, NE","0.01","Three single ranged attacks (0.57 each), [RES -50%] for 15 seconds, 100% hit rate","Y","Lowest HP% enemy","0","Support","30545058","","✓"
"Follow-Up Status","Snowball Toss Follow-Up","","Snowball Toss","PHY","Single enemy","Physical","2.00","Ice, NE","0.01","Five single ranged attacks (0.40 each), 50% additional critical chance if Mog is alive, 100% hit rate","Y","Lowest HP% enemy","0","Sharpshooter","30549171","","✓"
"Follow-Up Status","Forged Magitek EX Mode","","Magitek Blast","BLK","Single enemy","Magical","4.96","Dark, Poison, NE","0.01","4/5/6/7/8 single attacks (1.24/1.28/1.32/1.36/1.40 each) scaling with [Magitek Blast Uses]","Y","Lowest HP% enemy","0","Black Magic","30541270","✓","✓"
"Follow-Up Status","Sword Arts Follow-Up","","Sword Arts","PHY","Single enemy","Physical","1.96","Earth, Holy, NE","0.01","Four single attacks (0.49 each), 100% hit rate","Y","Lowest HP% enemy","0","Knight","30548148","✓","✓"
"Follow-Up Status","Awoken Runic Blade Follow-Up","","Awoken Runic Blade","PHY","Single enemy","Physical","2.60","Ice, Holy, NE","0.01","Grants [Magical Blink 2] to the user, five single attacks (0.52 each) if user has Magical Blink 1/2","Y","Lowest HP% enemy","0","Spellblade","30547225","✓","✓"
"Follow-Up Status","Flame Chaser Follow-Up","","Flame Chaser","PHY","Single enemy","Physical","5.30","Fire, NE","0.01","Ten single attacks (0.53 each)","Y","Lowest HP% enemy","0","Thief","30548339","✓","✓"
"Follow-Up Status","Tidal Stream Follow-Up","","Tidal Stream","BLK","Single enemy","Magical","16.40","Water, NE","0.01","One single attack (16.40) capped at 99999","Y","Lowest HP% enemy","0","Black Magic","30541062","✓","✓"
"Follow-Up Status","Clown's Scorn Follow-Up","","Clown's Scorn","BLK","Single enemy","Magical","12.16","Dark, Poison, NE","0.01","Eight single attacks (1.52 each)","Y","Lowest HP% enemy","0","Darkness","30541478","✓","✓"
"Follow-Up Status","Violent Storm Follow-Up","","Violent Storm 1","BLK","Single enemy","Magical","3.75","Wind, NE","0.01","Five single attacks (0.75 each)","Y","Lowest HP% enemy","0","Black Magic","30541354","✓","✓"
"Follow-Up Status","Violent Storm Follow-Up","","Violent Storm 2","BLK","Single enemy","Magical","7.50","Wind, NE","0.01","Ten single attacks (0.75 each)","Y","Lowest HP% enemy","0","Black Magic","30541355","✓","✓"
"Follow-Up Status","Violent Storm Follow-Up","","Violent Storm 3","BLK","Single enemy","Magical","11.25","Wind, NE","0.01","Fifteen single attacks (0.75 each)","Y","Lowest HP% enemy","0","Black Magic","30541356","✓","✓"
"Follow-Up Status","Fevered Rhapsody Follow-Up","","Fevered Rhapsody","NAT","All allies","","","","0.01","Grants [Magical +70% Boost 1] to all allies","Y","All allies","0","Dancer","30549141","✓","✓"
"Follow-Up Status","General's Slash Follow-Up","","General's Slash","NAT","All allies","","","","0.01","Grants [40% Damage Reduction Barrier 1]","N","All allies","0","Special","30544309","✓","✓"
"Follow-Up Status","Iron Allegiance Mode","","Flashfire Slash","PHY","Single enemy","Physical","7.00","Fire, NE","0.01","1/1/2 single attacks (6.90/6.90/3.50 each) capped at 99999, 0/50/100% additional critical chance if the user has 0/500/1000 Soul Break points, 100% hit rate","Y","Lowest HP% enemy","0","Samurai","30549131","✓","✓"
"Follow-Up Status","Footwork Mode","","Streaking Fist","PHY","Single enemy","Physical","6.12","Fire, NE","0.01","Six single attacks (1.02 each), 100% hit rate, grants [Physical Blink 3] to the user","Y","Lowest HP% enemy","0","Monk","30548523","✓","✓"
"Follow-Up Status","Explosive Fury Mode","","Beat Down","PHY","All enemies","Physical","7.40","Ice, NE","0.01","One group attack (7.40) capped at 99999, 100% hit rate, removes [Explosive Fury Mode] from the user","Y","All enemies","0","Monk","30548524","✓","✓"
"Follow-Up Status","Love Barrier Follow-Up","","Love Barrier","NAT","Self","","","","0.01","Grants [Magical Blink 2] and [High Quick Cast 1], grants [Magical Blink 1] to all allies","Y","Self","0","Spellblade","30547325","✓","✓"
"Follow-Up Status","Random Bet Follow-Up","","Random Bet","PHY","Single enemy","Physical","","Dark, NE","0.01","Randomly deals one (50%) or fifteen (50%) single ranged attacks (0.33 each), 100% hit rate","Y","Lowest HP% enemy","0","Sharpshooter","30549370","✓","✓"
"Follow-Up Status","Awoken Gambler","","Double Down","PHY","Single enemy","Physical","4.32","Dark, NE","0.01","Six single ranged attacks (0.72 each), 100% hit rate, causes [Imperil Dark 10% (15s)] every second use","Y","Lowest HP% enemy","0","Sharpshooter","30549279","✓","✓"
"Follow-Up Status","Shadowhound Mode","","Midnight Passage","PHY","Single enemy","Physical","8.90","Dark, NE","0.01","Two single attacks (4.45 each), ignores DEF, grants [40% Damage Reduction Barrier 1] to the user, 100% hit rate","Y","Lowest HP% enemy","0","Ninja","30549325","✓","✓"
"Follow-Up Status","Master Assassin Follow-Up","","Master Assassin","PHY","Single enemy","Physical","5.36","Dark, NE","0.01","4/6/8 single attacks (0.67 each) if the user has Physical Blink 0/1/2, 100% hit rate","Y","Lowest HP% enemy","0","Ninja","30549326","✓","✓"
"Follow-Up Status","Downburst Follow-Up","","Downburst","BLK","Single enemy","Magical","7.92","Wind, NE","0.01","Six single attacks (1.32 each)","Y","Lowest HP% enemy","0","Black Magic","30541654","✓","✓"
"Follow-Up Status","Unleashed Runic Blade Follow-Up","","Unleashed Runic Blade","PHY","Single enemy","Physical","3.04","Ice, Holy, NE","0.01","Four single attacks (0.76 each), 100% hit rate, grants [Ice +30% Boost 1] or [Holy +30% Boost 1] to all allies based on triggering ability's element","Y","Lowest HP% enemy","0","Spellblade","31540265","✓","✓"
"Follow-Up Status","Mental Collapse Mode","","Hyperdrive Kick","BLK","Single enemy","Magical","18.64","Dark, Poison, NE","0.01","One single attack (18.64), ignores RES, grants [Instant ATB 1] and [40% Damage Reduction Barrier 1] to the user","Y","Lowest HP% enemy","0","Darkness","31540270","✓","✓"
"Follow-Up Status","Awoken Bestial Power","","Storm Claws","PHY","Single enemy","Physical","4.56","Wind, Lightning, NE","0.01","Six single attacks (0.24/0.37/0.45/0.63/0.76 each) at rank 1/2/3/4/5 of the triggering ability, 100% hit rate","Y","Lowest HP% enemy","0","Celerity","31540547","✓","✓"
"Follow-Up Status","Staunch Smash Follow-Up","","Staunch Smash","PHY","Single enemy","Physical","3.41","Earth, Holy, NE","0.01","One single attack (3.41) capped at 99999, 100% hit rate","Y","Lowest HP% enemy","0","Knight","31540545","✓","✓"
"Follow-Up Status","Figaro Firebrand Mode","","Lethal Punch (Righteous)","PHY","Single enemy","Physical","8.90","Fire, NE","0.01","Two single attacks (4.45 each), ignores DEF, 100% hit rate, causes Pillar of Justice -2 to the user","Y","Lowest HP% enemy","0","Monk","31540655","✓","✓"
"Follow-Up Status","Figaro Firebrand Mode","","Lethal Punch (Support)","NAT","All allies","","","","0.01","Restores 2000 HP and removes negative effects, causes Pillar of Support -2 to the user","N","All allies","0","Monk","31540655","✓","✓"
"Follow-Up Status","Figaro Firebrand Mode","","Lethal Punch (Mixed)","PHY","Single enemy","Physical","5.00","Fire, NE","0.01","1/2 single attacks (3.52/2.50 each) capped at 99999 if the user has Physical Blink 0-1/2, 100% hit rate, causes Pillar of Justice -1 and Pillar of Support -1 to the user","Y","Lowest HP% enemy","0","Monk","31540655","✓","✓"
"Follow-Up Status","Bravo Shot Follow-Up","","Bravo Shot","PHY","Single enemy","Physical","12.96","Poison, Fire, Lightning, NE","0.01","Two single ranged attacks (6.48 each), ignores DEF, 100% hit rate","Y","Lowest HP% enemy","0","Machinist","31540651","✓","✓"
"Follow-Up Status","More the Merrier Mode","","Metamorphosis","PHY","Single enemy","Physical","6.00","Holy, NE","0.01","One single attack (6.00) capped at 99999, grants [Quick Cast 1] to the user if the user has 750-999 SB points, grants [Instant Cast 1] and [Dualcast Spellblade 1] to the user if the user has 1000+ SB points, causes [Soul Break Gauge -500] if the user has 1000+ SB points","Y","Lowest HP% enemy","0","Spellblade","31540724","✓","✓"
"Follow-Up Status","Intense Cold Follow-Up","","Intense Cold","PHY","Single enemy","Physical","5.28","Ice, NE","0.01","One single attack (5.28) capped at 99999, 100% hit rate","Y","Lowest HP% enemy","0","Monk","31541158","✓","✓"
"Follow-Up Status","Faithful Samurai Mode","","Martial Strike","PHY","Single enemy","Physical","3.52","Fire, NE","0.01","One single attack (3.52) capped at 99999, 100% hit rate","Y","Lowest HP% enemy","0","Samurai","31541271","✓","✓"
"Follow-Up Status","Fleet Blade Follow-Up","","Fleet Blade","PHY","Single enemy","Physical","2.00","Fire, NE","0.01","Four single attacks (0.50 each), 100% hit rate, grants [Samurai Quick Cast 1] to the user","Y","Lowest HP% enemy","0","Samurai","31541276","✓","✓"
"Follow-Up Status","Dark Trick Follow-Up","","Dark Trick","PHY","Single enemy","Physical","2.00","Dark, NE","0.01","Four single ranged attacks (0.50 each), causes [ATK and DEF -50% (8s)]/[MAG and RES -50% (8s)]/[DEF, RES and MND -50% (8s)] after casting Dark Trick 1+3n/2+3n/3+3n times","Y","Lowest HP% enemy","0","Sharpshooter","31541267","✓","✓"
"Follow-Up Status","Twist Flare Follow-Up","","Twist Flare","BLK","Single enemy","Magical","37.28","Fire, Wind, NE","0.01","Two single attacks (3.90 each) if the user hasn't Terra Trance, grants [High Quick Cast 1] to the user if the user hasn't Terra Trance, two single attacks (18.64 each), ignores RES if the user has [Terra Trance], removes Terra Trance from the user","Y","Lowest HP% enemy","0","Black Magic","31541604","✓","✓"
"Follow-Up Status","Awoken Blazewind Elite","","Wind Nova","BLK","Single enemy","Magical","14.46","Fire, Wind, NE","0.01","Six single attacks (2.41 each), grants [Buff Fire 10% (15s)] and [Buff Wind 10% (15s)] to the user every second use","Y","Lowest HP% enemy","0","Black Magic","31541608","✓","✓"
"Follow-Up Status","Dual Wildling Life Mode","","Dual Barbarity","PHY","Single enemy","Physical","1.64","Lightning, Wind, NE","0.01","Two single attacks (0.82 each), 100% hit rate, grants [200% ATB 1] and [Quick Cast 1] to the user","Y","Lowest HP% enemy","0","Celerity","31541553","✓","✓"
"Follow-Up Status","Dual Wildling Life Mode","","Dual Explosive Thrust","PHY","Single enemy","Physical","1.64","Lightning, Wind, NE","0.01","Two single attacks (0.82 each), 100% hit rate, grants [Damage Cap +10000 2] to the user","Y","Lowest HP% enemy","0","Celerity","31541554","✓","✓"
"Follow-Up Status","Dual Wildling Life Mode","","Dual Scratch","PHY","Single enemy","Physical","1.64","Lightning, Wind, NE","0.01","Two single attacks (0.82 each), 100% hit rate, grants [Combat, Celerity +30% Boost 2] to the user","Y","Lowest HP% enemy","0","Celerity","31541555","✓","✓"
"Follow-Up Status","Dual Awoken Wind Mode I (Strago)","","Dual Magi Descendant","BLK","Single enemy","Magical","15.00","Water, Wind, NE","0.01","Four single attacks (3.75 each), causes [DEF, RES and MND -70% (8s)]","Y","Lowest HP% enemy","0","Black Magic","31541557","✓","✓"
"Follow-Up Status","Dual Awoken Wind Mode II (Strago)","","Dual Wizened Mage's Ward","NAT","All allies","","","","0.01","Grants [HP Stock (3000)], smart ether 1 and [40% Damage Reduction Barrier 1]","N","All allies","0","Black Magic","31541551","✓","✓"
"Follow-Up Status","Dual Awoken Invincible General Mode I (Celes - Holy)","","Dual Divine End","PHY","Single enemy","Physical","2.00","Holy, NE","0.01","Four single attacks (0.50 each), 100% hit rate","Y","Lowest HP% enemy","0","Spellblade","31541709","✓","✓"
"Follow-Up Status","Dual Awoken Samurai Mode II (Cyan)","","Dual Inferno Flash","PHY","Single enemy","Physical","2.64","Fire, NE","0.01","One single attack (2.64) capped at 99999, 100% hit rate, causes [Imperil Prismatic 10% (15s)]/[Imperil Prismatic 30% (15s)] if 0-3/4+ FF6 allies are alive","Y","Lowest HP% enemy","0","Samurai","31541712","✓","✓"
"Follow-Up Status","Awoken Samurai of Doma","","Doman Flame Dance","PHY","Single enemy","Physical","4.32","Fire, NE","0.01","Six single attacks (0.72 each), 100% hit rate","Y","Lowest HP% enemy","0","Samurai","31541719","✓","✓"
"Follow-Up Status","Awoken Blazing Monk","","Scorching Firebird Strike","PHY","Single enemy","Physical","4.32","Fire, NE","0.01","Six single attacks (0.72 each), 100% hit rate, grants [100% Critical 1] to the user every second cast","Y","Lowest HP% enemy","0","Monk","31541721","✓","✓"
"Follow-Up Status","Awoken Machine Mania","","Trinity Crossbow","PHY","Single enemy","Physical","4.20","Poison, Fire, Lightning, NE","0.01","Six single ranged attacks (0.70 each), 100% hit rate","Y","Lowest HP% enemy","0","Machinist","31541731","✓","✓"
"Follow-Up Status","Dual Awoken Machinist Mode II (Edgar - Poison)","","Dual Boosted Voice","NAT","Self","","","","0.01","Grants [Dualcast Poison 1], [100% Critical 1] and [Buff Poison 10% (5s)]/[Triplecast Poison 1], [100% Critical 1] and [Buff Poison 20% (5s)]/[Quadracast Poison 1], [100% Critical 1] and [Buff Poison 30% (5s)] if any enemy has Imperil Poison 0-20%/30-40%/50%+ or is at 200% Poison weakness","Y","Lowest HP% enemy","0","Machinist","31541725","✓","✓"
"Follow-Up Status","Dual Awoken Zephyr Mode I (Terra)","","Dual Tornado Blast","BLK","Single enemy","Magical","14.64","Wind, NE","0.01","Six single attacks (2.20/2.34/2.44 each) capped at 19999 scaling with uses","Y","Lowest HP% enemy","0","Black Magic","31541900","✓","✓"
"Follow-Up Status","Chain Force Mode: Terra (Wind)","","Wind Guidance: Terra","BLK","Single enemy","Magical","8.20","Wind, NE","0.01","One single attack (7.80/8.20) capped at 99999 scaling with [Wind Guidance: Terra Uses], grants [Wind Ability Quick Cast 2] to the user","Y","Lowest HP% enemy","0","Black Magic","31541909","✓","✓"
"Follow-Up Status","Dual Awoken Darkness Mode I (Kefka)","","Dual Dark Justice","BLK","Single enemy","Magical","16.16","Dark, Poison, NE","0.01","One single attack (16.16) capped at 99999","Y","Lowest HP% enemy","0","Darkness","31541902","✓","✓"
"Follow-Up Status","Chain Force Mode: Shadow (Dark)","","Dark Guidance: Shadow","PHY","Single enemy","Physical","1.32","Dark, NE","0.01","Six single attacks (0.22 each), 100% hit rate","Y","Lowest HP% enemy","0","Ninja","31541911","✓","✓"
"Follow-Up Status","Dual Awoken Water Mode I (Strago)","","Dual Tidal Flow","BLK","Single enemy","Magical","16.56","Water, NE","0.01","Six single attacks (2.76 each), grants [Water Ability Quick Cast 1] to the user","Y","Lowest HP% enemy","0","Black Magic","31541915","","✓"
"Follow-Up Status","Chain Force Mode: Locke","","Fire Guidance: Locke","PHY","Single enemy","Physical","1.28","Fire, NE","0.01","Four single ranged attacks (0.32 each), 100% hit rate","Y","Lowest HP% enemy","0","Thief","31542176","","✓"
"Follow-Up Status","Dual Awoken Knight Mode I (Leo)","","Dual Solid Blow","PHY","Single enemy","Physical","3.36","Earth, Holy, NE","0.01","One single attack (3.36) capped at 99999, 100% hit rate, grants [40% Damage Reduction Barrier 1] to all allies","Y","Lowest HP% enemy","0","Knight","31542245","","✓"
"Follow-Up Status","Raging Yeti Mode","","Dual Snowball Toss","PHY","Single enemy","Physical","2.64","Ice, NE","0.01","One single attack (2.64) capped at 99999, 100% hit rate","Y","Lowest HP% enemy","0","Monk","31542251","","✓"
"Follow-Up Status","Awoken Rune Knight","","Splendid Sword","PHY","Single enemy","Physical","4.32","Ice, NE","0.01","Six single attacks (0.72 each), 100% hit rate","Y","Lowest HP% enemy","0","Spellblade","31542226","","✓"
"Follow-Up Status","Tri-Blast Follow-Up","","Tri-Blast","PHY","Single enemy","Physical","1.88","Poison, Fire, Lightning, NE","0.01","Four single ranged attacks (.47 each), 100% hit rate","Y","Lowest HP% enemy","0","Machinist","31520067","","✓"
"Follow-Up Status","Dual Awoken Sketch Mode I (Relm)","","Dual Heartfelt Painting","NAT","All allies","","","","0.01","Grants [HP Stock (500/1000/1500/2000/3000)] at rank 1/2/3/4/5 of the triggering ability","N","All allies","0","White Magic","31542315","","✓"
"Follow-Up Status","Dual Awoken Sketch Mode I (Relm)","","Dual Star Sketch","WHT","All allies","","","","0.01","Restores HP (10/15/25/35/45) at rank 1/2/3/4/5 of the triggering ability","N","All allies","0","White Magic","31542314","","✓"
"Follow-Up Status","Dual Awoken Sketch Mode II (Relm)","","Dual Cure Portrait","WHT","All allies","","","","0.01","Restores HP (55), grants [Physical Blink 1] and [Quick Cast 1]","N","All allies","0","White Magic","31542316","","✓"
"Follow-Up Status","Chain Force Mode: Terra","","Kindred Guidance: Terra","BLK","Single enemy","Magical","8.20","Fire, NE","0.01","One single attack (7.80/8.20) capped at 99999 scaling with [Kindred Guidance: Terra Uses], grants [Fire Ability Quick Cast 2] to the user","Y","Lowest HP% enemy","0","Black Magic","31542320","","✓"
"Follow-Up Status","Brave Crystal's Might (Terra)","","Power of Bravery (Terra)","BLK","Single enemy","Magical","","Fire, Wind, NE","0.01","Four single attacks (1.48 each), 100% hit rate","Y","Lowest HP% enemy","0","Black Magic","31520074","","✓"
"Follow-Up Status","Bravery: Prompto","","Crystal Strike: Prompto","PHY","Single enemy","Physical","3.20","Lightning, NE","0.01","Four single ranged attacks (0.80 each), 100% hit rate","Y","Lowest HP% enemy","0","Machinist","31520080","","✓"
"Follow-Up Status","Brave Crystal's Might (Balthier)","","Power of Bravery (Balthier)","PHY","Single enemy","Physical","3.20","Fire, NE","0.01","Four single ranged attacks (0.80 each), 100% hit rate","Y","Lowest HP% enemy","0","Machinist","31520084","","✓"
"Follow-Up Status","Brave Crystal's Might (Ayame)","","Power of Bravery (Ayame)","PHY","Single enemy","Physical","","Ice, NE","0.01","Four single attacks, 100% hit rate","Y","Lowest HP% enemy","0","Samurai","31520089","","✓"
"Follow-Up Status","Brave Crystal's Might (Kain)","","Power of Bravery (Kain)","PHY","Single enemy","Physical","","Lightning, Dark, NE","0.01","Four single jump attacks, 100% hit rate","Y","Lowest HP% enemy","0","Dragoon","31520091","","✓"
"Follow-Up Status","Brave Crystal's Might (Edea)","","Power of Bravery (Edea)","BLK","Single enemy","Magical","","Ice, Dark, NE","0.01","Four single attacks (??? each), 100% hit rate","Y","Lowest HP% enemy","0","Witch","","","✓"
"Follow-Up Status","True Form EX Mode","","Storm Hazard","PHY","Single enemy","Physical","","Wind, NE","0.01","Randomly deals four (50%) or eight (50%) single attacks (0.40 each) capped at 99999","Y","Lowest HP% enemy","0","Combat","30544042","✓","✓"
"Follow-Up Status","Darkness Blow Follow-Up","","Darkness Blow","PHY","Single enemy","Physical","1.60","Dark, NE","0.01","Four single attacks (0.40 each) capped at 99999, 100% hit rate","Y","Lowest HP% enemy","0","Heavy","30549291","✓","✓"
"Follow-Up Status","Hard Blast Follow-Up","","Hard Blast","PHY","Single enemy","Physical","3.00","Wind, NE","0.01","Six single attacks (0.50 each), causes [Imperil Wind 10%] for 15 seconds","Y","Lowest HP% enemy","0","Celerity","30546015","✓","✓"
"Follow-Up Status","Gaia Crusher Follow-Up","","Gaia Crusher","PHY","Single enemy","Physical","5.28","Earth, NE","0.01","One single attack (5.28) capped at 99999","Y","Lowest HP% enemy","0","Monk","30548320","✓","✓"
"Follow-Up Status","Turk Pistol Follow-Up","","Turk Pistol","NAT","Single enemy","","","","0.01","Causes [Imperil Fire 10%] for 15 seconds","N","Lowest HP% enemy","0","Special","30545067","✓","✓"
"Follow-Up Status","Technical Spark Follow-Up","","Technical Spark","PHY","Single enemy","Physical","1.80","Lightning, NE","0.01","Four single attacks (0.40 each), [MAG -50%] for 15 seconds","Y","Lowest HP% enemy","0","Support","30545069","✓","✓"
"Follow-Up Status","Ground Dive Follow-Up","","Ground Dive","PHY","Single enemy","Physical","3.68","Dark, NE","0.01","Eight single ranged attacks (0.46 each)","Y","Lowest HP% enemy","0","Sharpshooter","30549174","✓","✓"
"Follow-Up Status","Awoken Savior","","Holy Wave","WHT","All allies","","","","0.01","Grants [HP Stock (500/1000/1500/2000/3000)] at rank 1/2/3/4/5 of the triggering ability","N","All allies","0","White Magic","30542030","✓","✓"
