"Character","Img","Name","HA Ver","Type","Target","Formula","Multiplier","Element","Time","Effects","Counter","Auto Target","SB","Uses","Max","Orb 1 Required","1-R1","1-R2","1-R3","1-R4","1-R5","Orb 2 Required","2-R1","2-R2","2-R3","2-R4","2-R5","Orb 3 Required","3-R1","3-R2","3-R3","3-R4","3-R5","School","Name (JP)","ID","✓"
"Rufus","","President's Shot","HA2","PHY","Single enemy","Physical","5.95","Dark","1.65","Seven single ranged attacks (0.85 each)","Y","Lowest HP% enemy","90","2","10","Lightning Crystal","-","5","10","25","35","Non-Elemental Crystal","-","5","10","25","35","Dark Crystal","-","10","15","50","75","Sharpshooter","プレジデントショット","30281291","✓"
"Shelke","","Synaptic Net Dive","HA1","PHY","Single enemy","Physical","4.00","Lightning","1.20","Four single attacks (1.00 each), grants [High Quick Cast 1] to the user","Y","Lowest HP% enemy","80","2","10","Power Crystal","-","10","15","50","75","Non-Elemental Crystal","-","5","10","25","35","Lightning Crystal","-","5","10","25","35","Celerity","SND","30171281","✓"
"Shelke","","Transparent","HA2","NAT","Single ally","","","","1.65","Transfers the user's Soul Break points to the target (maximum of 500 Soul Break points), grants [Quick Cast 1]","N","Random ally prioritizing self last","100","2","10","Power Crystal","-","10","15","50","75","White Crystal","-","5","10","25","35","Black Crystal","-","5","10","25","35","Support","無式","30161291","✓"
"Shelke","","Rapid Spark","HA3","?","Single enemy","Physical","","Lightning","","Seven single attacks (? each)","?","Lowest HP% enemy","","2","10","Power Crystal","-","5","10","25","35","Non-Elemental Crystal","-","5","10","25","35","Lightning Crystal","-","10","15","50","75","Celerity","ラピッドスパーク","30171321",""
"Rude","","Grand Spark","HA1","NAT","Single enemy","Hybrid","","Earth, Lightning","1.65","Five single ranged hybrid attacks (1.10 or 3.50 each)","Y","Lowest HP% enemy","90","2","10","Non-Elemental Crystal","-","5","10","25","35","Lightning Crystal","-","5","10","25","35","Earth Crystal","-","10","15","50","75","Monk","地走り","30191421","✓"
"Rude","","Quake Fist","HA2","NAT","Single enemy","Hybrid","4.40","Earth, Lightning","1.65","Four single ranged hybrid attacks (1.10 or 3.60 each), causes [Imperil Earth 10% (5s)] and [Imperil Lightning 10% (5s)] to the target","Y","Lowest HP% enemy","90","2","10","Power Crystal","-","5","10","25","35","Lightning Crystal","-","5","10","25","35","Earth Crystal","-","10","15","50","75","Monk","クエイクフィスト","30191501","✓"
"Elena","","Elite Resolve","HA1","PHY","Single enemy","Physical","5.50","Fire, Lightning","3.30","Five single ranged attacks (1.10 each), causes [Imperil Fire 10% (5s)] and [Imperil Lightning 10% (5s)]","Y","Lowest HP% enemy","90","2","10","Power Crystal","-","5","10","25","35","Fire Crystal","-","10","15","50","75","Lightning Crystal","-","5","10","25","35","Sharpshooter","エリートの意地","30281241","✓"
"Elena","","Rookie Sneak Attack","HA2","?","Single enemy","Physical","","Fire, Lightning","","Four single ranged attacks (? each), grants [Sharpshooter Quick Cast 2] to the user","?","Lowest HP% enemy","","2","10","Power Crystal","-","5","10","25","35","Fire Crystal","-","10","15","50","75","Lightning Crystal","-","5","10","25","35","Sharpshooter","新人の不意打ち","30281311",""
"Genesis","","Genesis Slash","HA1","PHY","Single enemy","Physical","6.60","Fire","1.65","Six single attacks (1.10 each)","Y","Lowest HP% enemy","90","2","10","Power Crystal","-","10","15","50","75","Fire Crystal","-","5","10","25","35","Dark Crystal","-","5","10","25","35","Spellblade","創世の斬撃","30141321","✓"
"Squall","","Renzokuken","HA1","PHY","All enemies","Physical","5.50","Fire, Ice","1.65","Five group attacks (0.92~1.10 scaling with targets)","Y","All enemies","90","2","10","Power Crystal","-","10","15","50","75","Fire Crystal","-","5","10","25","35","Ice Crystal","-","5","10","25","35","Spellblade","連続剣","30141251","✓"
"Squall","","Lion Flurry","HA2","?","Single enemy","Physical","","Fire, Ice","","Six single attacks (? each), cast time ?/?/?/?/? scaling with [??? Uses]","?","Lowest HP% enemy","","2","10","Power Crystal","-","10","15","50","75","Fire Crystal","-","5","10","25","35","Ice Crystal","-","5","10","25","35","Combat","獅刹連舞","30151311",""
"Rinoa","","Angel Wing","HA1","BLK","Single","Magical","17.10","Ice, Earth","2.60","Six single attacks (2.85 each)","Y","Lowest HP% enemy","90","2","10","Ice Crystal","-","5","10","25","35","Earth Crystal","-","5","10","25","35","Dark Crystal","-","10","15","50","75","Witch","ヴァリー","30301081","✓"
"Quistis","","Hail to the Queen","HA1","BLK","Single","Magical","17.50","Water, Poison","0.01","Five single attacks (3.50 each)","Y","Lowest HP% enemy","70","2","10","Black Crystal","-","10","15","50","75","Ice Crystal","-","5","10","25","35","Dark Crystal","-","5","10","25","35","Black Magic","コールミーキング","30111661","✓"
"Quistis","","Lesson Time","HA2","SUM","Single enemy","Magical","","Water, Poison","","Five single attacks (? each), Grants [MAG +30%, DEF and RES -15% (8s)] to the user","N","Lowest HP% enemy","","2","6","Summoning Crystal","-","10","15","50","75","Dark Crystal","-","5","10","25","35","Ice Crystal","-","5","10","25","35","Summoning","指導の時間","30131611","✓"
"Zell","","Meteor Barret","HA1","PHY","Single enemy","Physical","6.60","Fire","1.65","Six single ranged attacks (1.10 each)","Y","Lowest HP% enemy","90","2","10","Power Crystal","-","5","10","25","35","Fire Crystal","-","10","15","50","75","Earth Crystal","-","5","10","25","35","Monk","メテオバレット","30191321","✓"
"Zell","","Final Punch","HA2","PHY","Single enemy","Physical","4.00","Fire","1.65","Four single attacks (1.00 each), grants [Monk Quick Cast 2] to the user","Y","Lowest HP% enemy","90","2","10","Fire Crystal","-","5","10","25","35","Earth  Crystal","-","5","10","25","35","Black Crystal","-","10","15","50","75","Monk","ファイナルパンチ","30191471","✓"
"Selphie","","Slots","HA1","NAT","All enemies","","","","1.65","Causes [ATK and MAG -50% (8s)], restores 1500 HP to all allies","N","All enemies","100","2","10","White Crystal","-","5","10","25","35","Holy Crystal","-","10","15","50","75","Dark Crystal","-","5","10","25","35","Dancer","スロット","30251121","✓"
"Selphie","","Trabia's Light","HA2","?","All allies","","","","","Restores HP (?), smart ether 1 every fourth activation","?","All allies","","2","10","White Crystal","-","10","15","50","75","Non-Elemental Crystal","-","5","10","25","35","Holy Crystal","-","5","10","25","35","White Magic","トラビアのひかり","30121621",""
"Irvine","","Canister Shot","HA1","PHY","Single enemy","Physical","5.50","Fire","1.65","Five single ranged attacks (1.10 each), causes [Imperil Fire 10% (5s)]","Y","Lowest HP% enemy","90","2","10","Power Crystal","-","5","10","25","35","Non-Elemental Crystal","-","5","10","25","35","Fire Crystal","-","10","15","50","75","Sharpshooter","キャニスターショット","30281211","✓"
"Irvine","","Flame Ammo","HA2","PHY","Single enemy","Physical","4.40","Fire","1.65","Four single ranged attacks (1.10 each), grants [Sharpshooter Quick Cast 2] to the user","Y","Lowest HP% enemy","90","2","10","Power Crystal","-","5","10","25","35","Non-Elemental Crystal","-","5","10","25","35","Fire Crystal","-","10","15","50","75","Sharpshooter","ショット・火炎弾","30281281","✓"
"Seifer","","Bloodfest","HA1","PHY","Single enemy","Physical","5.50","Dark, Fire","1.65","Five group ranged attacks (0.92~1.10 scaling with targets)","Y","All enemies","90","2","10","Non-Elemental Crystal","-","10","15","50","75","Fire Crystal","-","5","10","25","35","Dark Crystal","-","5","10","25","35","Darkness","血祭り","30271251","✓"
"Seifer","","Demon Slice","HA2","PHY","Single enemy","Physical","4.40","Dark, Fire","1.65","Four single attacks (1.10 each), grants [Buff Fire 10% (5s)] and [Buff Dark 10% (5s)] to all allies every third activation","Y","Lowest HP% enemy","90","2","10","Dark Crystal","-","5","10","25","35","Fire Crystal","-","5","10","25","35","Power Crystal","-","10","15","50","75","Darkness","アビスロック","30271371",""
"Laguna","","Desperado","HA1","PHY","All enemies","Physical","5.50","Ice","1.65","Five group ranged attacks (0.92~1.10 scaling with targets), causes [Imperil Ice 10% (5s)] every second activation","Y","Lowest HP% enemy","90","2","10","Black Crystal","-","5","10","25","35","Ice Crystal","-","10","15","50","75","Lightning Crystal","-","5","10","25","35","Machinist","デスペラード","30261221","✓"
"Laguna","","Freezing Crush","HA2","PHY","Single enemy","Physical","","Ice","","Seven single ranged attacks (? each)","Y","Lowest HP% enemy","","2","10","Non-Elemental Crystal","-","5","10","25","35","Ice Crystal","-","10","15","50","75","Lightning Crystal","-","5","10","25","35","Machinist","フリージングクラッシュ","30261391","✓"
"Edea","","Ice Strike","HA1","BLK","Single enemy","Magical","13.20","Ice, Dark","1.65","Four single attacks (3.30 each), grants [High Quick Cast 1] to the user","Y","Lowest HP% enemy","90","2","10","Black Crystal","-","5","10","25","35","Ice Crystal","-","5","10","25","35","Dark Crystal","-","10","15","50","75","Witch","冷徹なる一撃","30301121","✓"
"Edea","","Astral Realm","HA2","BLK","Single","Magical","17.50","Ice, Dark","1.65","Five single attacks (3.50 each)","Y","Lowest HP% enemy","90","2","10","Black Crystal","-","10","15","50","75","Ice Crystal","-","5","10","25","35","Dark Crystal","-","5","10","25","35","Black Magic","アストラル・ワールド","30111741","✓"
"Raijin","","Raijin Special","HA1","PHY","Single enemy","Physical","7.10","Lightning","1.65","One single attack (7.10) capped at 99999","Y","Lowest HP% enemy","90","2","10","Fire Crystal","-","5","10","25","35","Lightning Crystal","-","10","15","50","75","Earth Crystal","-","5","10","25","35","Monk","秘技「雷神飛竜昇」","30191311","✓"
"Raijin","","Lightning Hammer Flurry","HA2","PHY","Single enemy","Physical","","Lightning","","Six single attacks (? each)","Y","Lowest HP% enemy","","2","10","Fire Crystal","-","5","10","25","35","Lightning Crystal","-","10","15","50","75","Earth Crystal","-","5","10","25","35","Monk","雷棍連撃","30191491","✓"
"Fujin","","Zan","HA1","BLK","Single enemy","Magical","32.40","Wind","1.65","Four single attacks (3.50 each), followed by one single attack (18.40) that ignores RES","Y","Lowest HP% enemy","90","2","10","Black Crystal","-","10","15","50","75","Non-Elemental Crystal","-","5","10","25","35","Wind Crystal","-","5","10","25","35","Black Magic","斬","30111551","✓"
"Fujin","","Sen","HA2","?","Single enemy","Magical","","Wind","","Six single attacks (? each)","?","Lowest HP% enemy","","2","10","Black Crystal","-","10","15","50","75","Non-Elemental Crystal","-","5","10","25","35","Wind Crystal","-","5","10","25","35","Ninja","忍者","30231341",""
"Kiros","","Exsanguination","HA1","PHY","Single enemy","Physical","5.50","Ice, Dark","0.83","Five single attacks (1.10 each)","Y","Lowest HP% enemy","80","2","10","Non-Elemental Crystal","-","5","10","25","35","Ice Crystal","-","5","10","25","35","Dark Crystal","-","10","15","50","75","Ninja","ブラッドペイン","30231261","✓"
"Kiros","","Katar Dance","HA2","PHY","Single enemy","Physical","6.60","Dark, Ice","0.83","4/5/6 single attacks (1.10 each) if the user has [Physical Blink 0/1/2], grants [Physical Blink 1] and [Physical Blink Stacking 2] to the user","Y","Lowest HP% enemy","80","2","10","Ice Crystal","-","5","10","25","35","Earth Crystal","-","5","10","25","35","Dark Crystal","-","10","15","50","75","Ninja","カタール乱舞","30231271","✓"
"Ward","","Massive Anchor","HA1","PHY","Single enemy","Physical","7.10","Water, Ice, Earth, NE","1.65","One single ranged attack (7.10) capped at 99999","Y","Lowest HP% enemy","90","2","10","Ice Crystal","-","10","15","50","75","Earth Crystal","-","5","10","25","35","Wind Crystal","-","5","10","25","35","Dragoon","マッシヴアンカー","30181251","✓"
"Ward","","Anchor Rain","HA2","PHY","Single enemy","Physical","5.50","Water, Ice, Earth","1.65","Five single ranged attacks (1.10 each)","Y","Lowest HP% enemy","90","2","10","Power Crystal","-","5","10","25","35","Ice Crystal","-","10","15","50","75","Earth Crystal","-","5","10","25","35","Dragoon","アンカーレイン","30181331","✓"
"Ultimecia","","Final Sentence","HA1","BLK","Single","Magical","17.50","Wind, Dark","1.65","Five single attacks (3.50 each)","Y","Lowest HP% enemy","90","2","10","Black Crystal","-","10","15","50","75","Wind Crystal","-","5","10","25","35","Dark Crystal","-","5","10","25","35","Black Magic","天罰の矢","30111611","✓"
"Ultimecia","","Merciless Blades","HA2","?","Single","Magical","","Wind, Dark","","Seven single attacks (? each), causes [MND -?%] to the user for ? seconds","?","Lowest HP% enemy","","2","10","Black Crystal","-","5","10","25","35","Wind Crystal","-","10","15","50","75","Dark Crystal","-","5","10","25","35","Witch","渦風の剣","30301221",""
"Zidane","","Scoop Art","HA1","PHY","Single enemy","Physical","6.60","Wind","1.20","Six single attacks (1.10 each)","Y","Lowest HP% enemy","80","2","10","Non-Elemental Crystal","-","5","10","25","35","Wind Crystal","-","10","15","50","75","Dark Crystal","-","5","10","25","35","Thief","スクープアウト","30201181","✓"
"Garnet","","Divine Guardian","HA1","SUM","Single enemy","Magical","24.75","Lightning, Holy","1.80","Five single attacks (4.95 each), minimum damage 2000, restores 1000 HP to all allies","N","Lowest HP% enemy","90","2","6","Summoning Crystal","-","10","15","50","75","Lightning Crystal","-","5","10","25","35","Holy Crystal","-","5","10","25","35","Summoning","聖なる守護神","30131471","✓"
"Vivi","","Double Black Magic Fira","HA1","BLK","Single","Magical","21.00","Fire","1.65","Six single attacks (3.50 each)","Y","Lowest HP% enemy","90","2","10","Black Crystal","-","10","15","50","75","Non-Elemental Crystal","-","5","10","25","35","Fire Crystal","-","5","10","25","35","Black Magic","W黒魔法・ファイラ","30111481","✓"
"Vivi","","Blizzard & Thunder","HA2","BLK","Single enemy","Magical","17.50","Ice, Lightning","1.65","Five single attacks (3.50 each)","Y","Lowest HP% enemy","90","2","10","Black Crystal","-","10","15","50","75","Ice Crystal","-","5","10","25","35","Lightning Crystal","-","5","10","25","35","Black Magic","ブリザド＆サンダー","30111631","✓"
"Vivi","","Double Black Magic Biora","HA3","?","Single enemy","Magical","","Poison","","Five single attacks (? each), causes [Imperil Poison 10% (5s)]","?","Lowest HP% enemy","","2","10","Black Crystal","-","10","15","50","75","Non-Elemental Crystal","-","5","10","25","35","Dark Crystal","-","5","10","25","35","Black Magic","W黒魔法・バイオラ","30111841",""
"Steiner","","Spellblade","HA1","PHY","Single enemy","Physical","5.50","Fire, Ice, Lightning","1.65","Five single attacks (1.10 each)","Y","Lowest HP% enemy","90","2","10","Power Crystal","-","10","15","50","75","Fire Crystal","-","5","10","25","35","Ice Crystal","-","5","10","25","35","Spellblade","魔法剣","30141331","✓"
"Freya","","Lancer (IX)","HA1","PHY","Single enemy","Physical","5.50","Wind","1.65","Five single ranged jump attacks (1.10 each), restores 1000 HP to all allies","Y","Lowest HP% enemy","90","2","10","White Crystal","-","5","10","25","35","Lightning Crystal","-","10","15","50","75","Wind Crystal","-","5","10","25","35","Dragoon","竜剣【IX】","30181271","✓"
"Freya","","Lunar Ray","HA2","PHY","Single enemy","Physical","","Wind","3.30","Seven single jump attacks (? each)","Y","Lowest HP% enemy","","2","10","Power Crystal","-","5","10","25","35","Lightning Crystal","-","5","10","25","35","Wind Crystal","-","10","15","50","75","Dragoon","ルナ・レイ","30181391","✓"
"Quina","","High Tide","HA1","NAT","Single ally","","","","0.83","Transfers the user's Soul Break points to the target (maximum of 500 Soul Break points), grants [Quick Cast 2] to the user","N","Random ally prioritizing self last","100","2","10","Power Crystal","-","10","15","50","75","White Crystal","-","5","10","25","35","Black Crystal","-","5","10","25","35","Support","満月の心得","30161271","✓"
"Quina","","Frog Drop","HA2","?","Single enemy","Physical","","Water, Earth, Poison","","Three single attacks (? each), causes [DEF -?% (?s)]","?","Lowest HP% enemy","","2","10","Ice Crystal","-","5","10","25","35","Earth Crystal","-","5","10","25","35","Dark Crystal","-","10","15","50","75","Support","カエルおとし","30161431",""
"Eiko","","Prayer of the Lost","HA1","SUM","Single enemy","Magical","19.80","Holy, Wind","1.80","Four single attacks (4.95 each), minimum damage 2000, restores 1500 HP to all allies","N","Lowest HP% enemy","90","2","6","Summoning Crystal","-","10","15","50","75","Wind Crystal","-","5","10","25","35","Holy Crystal","-","5","10","25","35","Summoning","マダイン・サリの祈り","30131481","✓"
"Eiko","","Emerald Light","HA2","?","All allies","","","","","Restores HP (?), smart ether 1 every fourth activation","?","All allies","","2","10","White Crystal","-","10","15","50","75","Summoning Crystal","-","5","10","25","35","Wind Crystal","-","5","10","25","35","White Magic","エメラルドの光","30121611",""
"Eiko","","Maiden's Holy","HA3","?","Single enemy","Magical","","Wind, Holy","","Five single attacks (? each), causes [Imperil Wind 10% (5s)]","?","Lowest HP% enemy","","2","10","White Crystal","-","10","15","50","75","Wind Crystal","-","5","10","25","35","Holy Crystal","-","5","10","25","35","White Magic","おとめホーリー","30121691",""
"Amarant","","Countdown","HA1","PHY","Single enemy","Physical","5.50","Fire","1.65","Five single attacks (1.10 each), restores 1500 HP to the lowest HP% ally","Y","Lowest HP% enemy","90","2","10","Non-Elemental Crystal","-","5","10","25","35","Fire Crystal","-","10","15","50","75","Earth Crystal","-","5","10","25","35","Monk","秘孔拳","30191281","✓"
"Amarant","","Faithful Fist","HA2","PHY","Single enemy","Physical","6.60","Fire","1.65","Six single attacks (1.10 each)","Y","Lowest HP% enemy","90","2","10","Power Crystal","-","5","10","25","35","Fire Crystal","-","10","15","50","75","Earth Crystal","-","5","10","25","35","Monk","拳の確信","30191441","✓"
"Beatrix","","Seiken Shock","HA1","PHY","Single enemy","Physical","7.10","Holy","1.65","One single ranged attack (7.10) capped at 99999, 100% hit rate","Y","Lowest HP% enemy","90","2","10","Power Crystal","-","5","10","25","35","Earth Crystal","-","5","10","25","35","Holy Crystal","-","10","15","50","75","Knight","聖剣技・ショック","30211201","✓"
"Beatrix","","Seiken Climhazzard","HA2","PHY","Single enemy","Physical","6.60","Holy","1.65","Six single attacks (1.10 each)","Y","Lowest HP% enemy","90","2","10","Power Crystal","-","5","10","25","35","Wind Crystal","-","5","10","25","35","Holy Crystal","-","10","15","50","75","Knight","聖剣技Cハザード","30211431","✓"
"Kuja","","Darkflare Star","HA1","BLK","Single","Magical","17.50","Dark","0.01","Five single attacks (3.50 each)","Y","Lowest HP% enemy","70","2","10","Black Crystal","-","5","10","25","35","Earth Crystal","-","5","10","25","35","Dark Crystal","-","10","15","50","75","Darkness","ダークフレアスター","30271301","✓"
"Kuja","","Snatch Blow","HA2","BLK","Single enemy","Magical","","Dark","","Seven single attacks (? each), causes [Doom: 45] to the user","Y","Lowest HP% enemy","","2","10","Holy Crystal","-","5","10","25","35","Black Crystal","-","5","10","25","35","Dark Crystal","-","10","15","50","75","Darkness","スナッチブロー","30271391","✓"
"Marcus","","Tantalus Break","HA1","PHY","Single enemy","Physical","5.50","Wind, Poison","0.01","Five single attacks (1.10 each)","Y","Lowest HP% enemy","70","2","10","Non-Elemental Crystal","-","5","10","25","35","Wind Crystal","-","10","15","50","75","Dark Crystal","-","5","10","25","35","Thief","タンタラスブレイク","30201221","✓"
"Tidus","","Jecht Shot","HA1","PHY","Single enemy","Physical","6.60","Water","1.65","Five single ranged attacks (1.10 each), followed by one single ranged attack (1.10) with additional 20% critical damage","Y","Lowest HP% enemy","90","2","10","Power Crystal","-","5","10","25","35","Ice Crystal","-","5","10","25","35","Lightning Crystal","-","10","15","50","75","Sharpshooter","ジェクトシュート","30281161","✓"
"Yuna","","The Sending","HA1","SUM","Single enemy","Magical","24.75","Holy, Wind","1.80","Five single attacks (4.95 each), minimum damage 2000, restores 1000 HP to all allies","N","Lowest HP% enemy","90","2","6","Summoning Crystal","-","10","15","50","75","Wind Crystal","-","5","10","25","35","Holy Crystal","-","5","10","25","35","Summoning","異界送り","30131491","✓"
"Yuna","","Whistle Promise","HA2","WHT","All allies","","","","1.65","Restores HP (20), smart ether 1 every fourth activation","N","All allies","100","2","10","White Crystal","-","10","15","50","75","Non-Elemental Crystal","-","5","10","25","35","Holy Crystal","-","5","10","25","35","White Magic","約束の指笛","30121531","✓"
"Yuna","","Trigger Happy","HA3","?","Single enemy","Magical","","Holy","","Six single attacks (? each)","?","Lowest HP% enemy","","2","10","White Crystal","-","10","15","50","75","Non-Elemental Crystal","-","5","10","25","35","Holy Crystal","-","5","10","25","35","White Magic","クイックトリガー","30121681",""
"Wakka","","Element Reels","HA1","PHY","Single enemy","Physical","4.00","Water","1.65","Four single ranged attacks (1.00 each), grants [Buff Water 10% (15s)] to all allies every third activation","Y","Lowest HP% enemy","90","2","10","Power Crystal","-","5","10","25","35","Ice Crystal","-","10","15","50","75","Lightning Crystal","-","5","10","25","35","Sharpshooter","エレメントリール","30281191","✓"
"Wakka","","Attack Reels","HA2","PHY","Single enemy","Physical","6.60","Water","1.65","Six single ranged attacks (1.10 each)","Y","Lowest HP% enemy","90","2","10","Power Crystal","-","5","10","25","35","Non-Elemental Crystal","-","5","10","25","35","Ice Crystal","-","10","15","50","75","Sharpshooter","アタックリール","30281251","✓"
"Lulu","","Fury","HA1","BLK","Single","Magical","17.10","Ice, Water, Lightning","2.60","Six single attacks (2.85 each)","Y","Lowest HP% enemy","90","2","10","Black Crystal","-","10","15","50","75","Ice Crystal","-","5","10","25","35","Lightning Crystal","-","5","10","25","35","Witch","テンプテーション","30301131","✓"
"Lulu","","Triple Trick","HA2","BLK","Single","Magical","13.20","Ice, Water, Lightning","1.65","Four single attacks (3.30 each), grants [Magical Quick Cast 2] to the user","Y","Lowest HP% enemy","90","2","10","Black Crystal","-","10","15","50","75","Ice Crystal","-","5","10","25","35","Lightning Crystal","-","5","10","25","35","Witch","トリプルトリック","30301211","✓"
"Kimahri","","Ronso Jump","HA1","PHY","Single enemy","Physical","6.65","Water","3.30","Seven single ranged jump attacks (0.95 each)","Y","Lowest HP% enemy","90","2","10","Ice Crystal","-","10","15","50","75","Lightning Crystal","-","5","10","25","35","Wind Crystal","-","5","10","25","35","Dragoon","ロンゾジャンプ","30181231","✓"
"Kimahri","","Azure Lance","HA2","PHY","Single enemy","Physical","3.00","Water","1.65","Three single ranged jump attacks (1.00 each), grants [Instant Cast 1] to the user","Y","Lowest HP% enemy","90","2","10","Power Crystal","-","5","10","25","35","Ice Crystal","-","10","15","50","75","Wind Crystal","-","5","10","25","35","Dragoon","覚悟の青き槍","30181311","✓"
"Rikku","","Al Bhed Steal","HA1","PHY","Single enemy","Physical","4.00","Water","1.20","Four single attacks (1.00 each), causes [ATK and DEF -50% (8s)], grants [ATK and DEF +50%] for 8 seconds to the user","Y","Random enemy without status","80","2","10","Ice Crystal","-","10","15","50","75","Wind Crystal","-","5","10","25","35","Dark Crystal","-","5","10","25","35","Thief","アルベド・スティール","30201161","✓"
"Rikku","","Tidal Wave","HA2","PHY","Single enemy","Physical","5.95","Water","1.65","Seven single ranged attacks (0.85 each)","Y","Lowest HP% enemy","90","2","10","Non-Elemental Crystal","-","5","10","25","35","Ice Crystal","-","10","15","50","75","Lightning Crystal","-","5","10","25","35","Machinist","タイダルウェーブ","30261291","✓"
"Auron","","Banishing Blade","HA1","PHY","Single enemy","Physical","7.10","Fire","3.30","One single attack (7.10) capped at 99999, causes [ATK, DEF, MAG and RES -50% (15s)] to the target","Y","Lowest HP% enemy","90","2","10","Power Crystal","-","5","10","25","35","Non-Elemental Crystal","-","10","15","50","75","Fire Crystal","-","5","10","25","35","Samurai","征伐","30221231","✓"
"Auron","","Dragon Fang","HA2","PHY","Single enemy","Physical","6.60","Fire","1.65","Six single attacks (1.10 each)","Y","Lowest HP% enemy","90","2","10","Power Crystal","-","5","10","25","35","Non-Elemental Crystal","-","10","15","50","75","Fire Crystal","-","5","10","25","35","Samurai","牙龍","30221321","✓"
"Jecht","","Jecht Beam","HA1","PHY","Single enemy","Physical","5.50","Dark, Fire","1.65","Four single ranged attacks (1.10 each), followed by one single ranged attack (1.10) with additional 20% critical damage","Y","Lowest HP% enemy","90","2","10","Power Crystal","-","5","10","25","35","Fire Crystal","-","5","10","25","35","Dark Crystal","-","10","15","50","75","Sharpshooter","ジェクトビーム","30281201","✓"
"Jecht","","Jecht Shot Mark III","HA2","PHY","Single enemy","Physical","4.40","Dark, Fire","1.65","Four single ranged attacks (1.10 each), grants [Sharpshooter Quick Cast 2] to the user","Y","Lowest HP% enemy","90","2","10","Power Crystal","-","5","10","25","35","Fire Crystal","-","10","15","50","75","Dark Crystal","-","5","10","25","35","Sharpshooter","ジェクト様シュート３号","30281271","✓"
"Braska","","Wandering Flame","HA1","SUM","Single enemy","Magical","19.80","Fire","1.80","Four single attacks (4.95 each), minimum damage 2000, grants [Buff Fire 10% (15s)] to all allies every third activation","N","Lowest HP% enemy","90","2","6","Black Crystal","-","5","10","25","35","Summoning Crystal","-","10","15","50","75","Fire Crystal","-","5","10","25","35","Summoning","彷徨の炎","30131541","✓"
"Braska","","Crimson Prayer","HA2","SUM","Single enemy","Magical","","Fire","","Sixsingle attacks (? each), minimum damage ?","N","Lowest HP% enemy","","2","6","Power Crystal","-","5","10","25","35","Summoning Crystal","-","10","15","50","75","Fire Crystal","-","5","10","25","35","Summoning","紅炎の祈り","30131601","✓"
"Paine","","Hurt!","HA1","PHY","Single enemy","Physical","7.10","Water","1.65","One single attack (7.10) capped at 99999","Y","Lowest HP% enemy","90","2","10","Power Crystal","-","10","15","50","75","Ice Crystal","-","5","10","25","35","Lightning Crystal","-","5","10","25","35","Spellblade","シメる！","30141311","✓"
"Paine","","Sword Dance","HA2","PHY","Single enemy","Physical","6.60","Water","1.65","Six single attacks (1.10 each)","Y","Lowest HP% enemy","90","2","10","Power Crystal","-","10","15","50","75","Non-Elemental","-","5","10","25","35","Ice Crystal","-","5","10","25","35","Spellblade","ダンシングソード","30141441","✓"
"Seymour","","Anima's Pain","HA1","SUM","All enemies","Magical","24.75","Dark","1.80","Five group attacks (4.95 each), minimum damage 2000","N","All enemies","90","2","6","Summoning Crystal","-","10","15","50","75","Non-Elemental Crystal","-","5","10","25","35","Dark Crystal","-","5","10","25","35","Summoning","アニマ召喚・ペイン","30131521","✓"
"Seymour","","Cursed Requiem","HA2","?","Single enemy","Magical","","Dark","","Five single attacks (? each), grants [Buff Dark 10% (?s)] to all allies every second activation","?","Lowest HP% enemy","","2","10","Black Crystal","-","10","15","50","75","Non-Elemental Crystal","-","5","10","25","35","Dark Crystal","-","5","10","25","35","Black Magic","カースレクイエム","30111821",""
"Shantotto","","Play Rough","HA2","BLK","Single enemy","Magical","19.95","Lightning","2.60","Seven single attacks (2.85 each)","Y","Lowest HP% enemy","90","2","10","Black Crystal","-","5","10","25","35","Lightning Crystal","-","5","10","25","35","Dark Crystal","-","10","15","50","75","Witch","ブチ切れ","30301111","✓"
"Ayame","","Tachi: Gekko","HA1","PHY","Single enemy","Physical","5.70","Ice, Water","1.65","Six single attacks (0.95 each), 100% additional critical chance if user has [Retaliate] or [High Retaliate], removes [Retaliate] and [High Retaliate] from the user","Y","Lowest HP% enemy","90","2","10","Power Crystal","-","5","10","25","35","Non-Elemental Crystal","-","10","15","50","75","Ice Crystal","-","5","10","25","35","Samurai","八之太刀・月光","30221221","✓"
"Ayame","","Hagakure Kaiden: Yukikaze","HA2","PHY","Single enemy","Physical","7.10","Ice","1.65","One single attack (7.10) capped at 99999, grants [Retaliate] to the user","Y","Lowest HP% enemy","90","2","10","Non-Elemental Crystal","-","5","10","25","35","Ice Crystal","-","10","15","50","75","Wind Crystal","-","5","10","25","35","Samurai","葉隠皆伝・雪風","30221311","✓"
"Curilla","","Swift Blade","HA1","PHY","Single enemy","Physical","4.00","Holy","1.65","Four single attacks (1.00 each), grants [10% Damage Reduction Barrier 1] to all allies","Y","Lowest HP% enemy","90","2","10","Power Crystal","-","5","10","25","35","White Crystal","-","5","10","25","35","Holy Crystal","-","10","15","50","75","Knight","スウィフトブレード","30211341","✓"
"Curilla","","Circle Blade","HA2","PHY","Single enemy","Physical","6.60","Holy","1.65","Six single attacks (1.1 each)","Y","Lowest HP% enemy","90","2","10","Power Crystal","-","5","10","25","35","Non-Elemental Crystal","-","5","10","25","35","Holy Crystal","-","10","15","50","75","Knight","サークルブレード","30211461","✓"
