"Realm","Character","Img","Name","Effect","Unlock Criteria","Name (JP)","ID","GL","✓"
"VII","Tifa","","Face the Past","Increases Earth damage dealt by 30%","Bring Tifa to level 99","過去に向き合う覚悟","111070032","✓","✓"
"VII","Aerith","","Prayer of the Cetra","Increases Holy damage dealt by 10%","Use Aerith's Memory Crystal","セトラのいのり","111070040","✓","✓"
"VII","Aerith","","Cetra's Destiny","WHT abilities restore 20% more HP","Use Aerith's Memory Crystal II, chance to obtain with Aerith in party","セトラの宿命","111070042","✓","✓"
"VII","Aerith","","Planet's Salvation","MAG and MND +13% when equipping a rod","Bring Aerith to level 99","星を救う使命","111070043","✓","✓"
"VII","Red XIII","","Planet Guardian","Grants [Reflect] at the beginning of the battle","Use Red XIII's Memory Crystal","星の守り手","111070050","✓","✓"
"VII","Red XIII","","Seto's Will","Grants [High Regen] when HP fall below 25%","Chance to obtain with Red XIII in party","セトの意志","111070051","✓","✓"
"VII","Red XIII","","Survival Instinct","Restores 1 use for all Support abilities at the beginning of the battle","Use Red XIII's Memory Crystal II, chance to obtain with Red XIII in party","一族の生き残り","111070052","✓","✓"
"VII","Red XIII","","Ancient Spirit","PHY attacks deal 30% more damage when equipping an hairpin","Bring Red XIII to level 99","受け継がれし魂","111070053","✓","✓"
"VII","Yuffie","","Gift of the Shinobi","PHY attacks deal 10% more damage when equipping a thrown weapon","Use Yuffie's Memory Crystal","忍びの末裔","111070060","✓","✓"
"VII","Yuffie","","Lickety-Split","Attack turns into an ability (PHY: single, 1.00 physical) with 0.01 cast time","Use Yuffie's Memory Crystal II, chance to obtain with Yuffie in party","シュシュシュ","111070061","✓","✓"
"VII","Yuffie","","Master of Shadows","ATK and MAG +10%, grants [Physical Blink 1] at the beginning of the battle","Bring Yuffie to level 99","凄腕の忍","111070062","✓","✓"
"VII","Cait Sith","","Lucky Slots","30% chance to turn Attack into an ability (NAT: single, 0.80 magical)","Use Cait Sith's Memory Crystal","ラッキースロット","111070070","✓","✓"
"VII","Cait Sith","","Moogle Ward","Grants [High Regen] at the beginning of the battle","Use Cait Sith's Memory Crystal II, chance to obtain with Cait Sith in party","デブモーグリの守護","111070071","✓","✓"
"VII","Cait Sith","","Hidden Burden","MAG and MND +13% when equipping an instrument","Bring Cait Sith to level 99","秘めし責任感","111070072","✓","✓"
"VII","Vincent","","Flesh Undying","MAG +10% when equipping a gun","Use Vincent's Memory Crystal","不老の肉体","111070080","✓","✓"
"VII","Vincent","","Unerring Shot","PHY attacks deal 20% more damage when equipping a gun","Use Vincent's Memory Crystal II, chance to obtain with Vincent in party","錆びぬ射撃の腕","111070081","✓","✓"
"VII","Vincent","","Lingering Nightmare","DEF and RES +20% when equipping a gun","Bring Vincent to level 99","悪夢を超えしガンマン","111070082","✓","✓"
"VII","Zack","","SOLDIER's Pride","PHY attacks deal 10% more damage when equipping a sword","Use Zack's Memory Crystal","ソルジャーの誇り","111070090","✓","✓"
"VII","Zack","","SOLDIER's Resolve","30% chance to reduce physical damage taken by PHY attacks by 20%","Use Zack's Memory Crystal II, chance to obtain with Zack in party","ソルジャーのタフネス","111070091","✓","✓"
"VII","Zack","","Worthy Hero","ATK and DEF +10%, grants [Haste] at the beginning of the battle","Bring Zack to level 99","ソルジャーの覚悟","111070092","✓","✓"
"VII","Sephiroth","","Loner","ATK and DEF +10% for each KO'd or missing party member","Use Sephiroth's Memory Crystal","孤高","111070100","✓","✓"
"VII","Sephiroth","","Heroic Stance","PHY attacks deal 20% more damage when equipping a katana","Use Sephiroth's Memory Crystal II, chance to obtain with Sephiroth in party","英雄の太刀筋","111070102","✓","✓"
"VII","Sephiroth","","Argent Hero","PHY attacks deal 30% more damage when equipping a katana","Bring Sephiroth to level 99","白銀の英雄","111070103","✓","✓"
"VII","Cid (VII)","","Fury","Grants [Berserk] at the beginning of the battle","Use Cid (VII)'s Memory Crystal","激昂","111070110","✓","✓"
"VII","Cid (VII)","","Ace Pilot","100% chance to double Experience gained at the end of the battle","Chance to obtain with Cid (VII) in party","パイロットの経験","111070111","✓","✓"
"VII","Cid (VII)","","Air Raid","Increases Wind damage dealt by 20%","Use Cid (VII)'s Memory Crystal II, chance to obtain with Cid in party","パイロットの急襲","111070112","✓","✓"
"VII","Cid (VII)","","Star Dreams","Dragoon abilities deal 35% more damage","Bring Cid (VII) to level 99","宇宙への夢","111070113","✓","✓"
"VII","Reno","","Crimson Lockdown","16% chance to turn Attack into an ability (PHY: 1.00 physical, causes Stop (70%))","Use Reno's Memory Crystal","赤髪の一閃","111070120","✓","✓"
"VII","Reno","","Ace Turk","PHY and BLK attacks deal 20% more damage when equipping a rod","Use Reno's Memory Crystal II, chance to obtain with Reno in party","タークスのエース","111070121","✓","✓"
"VII","Reno","","Turks' Technique","24% chance to turn Attack into Tempest Snipe","Bring Reno to level 99","タークスの流儀","111070122","✓","✓"
"VII","Angeal","","Heroic Stride","10% chance to counter PHY attacks with an ability (NAT: self, grants [Protect])","Use Angeal's Memory Crystal","英雄の資質","111070150","✓","✓"
"VII","Angeal","","Pride's Sigil","DEF +20% when equipping a sword","Use Angeal's Memory Crystal II, chance to obtain with Angeal in party","誇りの証","111070151","✓","✓"
"VII","Angeal","","Rightful Pride","DEF +25% when equipping a bracer","Bring Angeal to level 99","誇りを伝えし者","111070152","✓","✓"
"VII","Rufus","","Savage Shots","Sharpshooter abilities deal 15% more damage","Use Rufus's Memory Crystal","非情なる狙撃","111070180","✓","✓"
"VII","Rufus","","Master of Fear","Sharpshooter abilities deal 30% more damage","Use Rufus's Memory Crystal II, chance to obtain with Rufus in party","恐怖の統率者","111070181","✓","✓"
"VII","Rufus","","Ambitious Scion","ATK +15% when equipping a gun","Bring Rufus to level 99","野心溢れし指導者","111070182","✓","✓"
"VII","Shelke","","Forever Young","50% chance to restore 1 use for all Celerity abilities at the beginning of the battle","Use Shelke's Memory Crystal","少女の面影","111070190","✓","✓"
"VII","Shelke","","Invisible Soldier","Celerity abilities deal 25% more damage","Use Shelke's Memory Crystal II, chance to obtain with Shelke in party","無色のソルジャー","111070191","✓","✓"
"VII","Shelke","","Double Destruction","42% chance to turn Attack into Double Cut","Bring Shelke to level 99","二槍の使い手","111070192","✓","✓"
"VII","Rude","","Strong and Silent","Increases Earth damage dealt by 10%","Use Rude's Memory Crystal","黙して語らぬ巨漢","111070200","✓","✓"
"VII","Rude","","Quiet Determination","Grants [Shell] and [Low Regen] at the beginning of the battle","Use Rude's Memory Crystal II, chance to obtain with Rude in party","静かな闘志","111070201","✓","✓"
"VII","Rude","","Turk Muscle","ATK and MAG +13% when equipping a fist weapon","Bring Rude to level 99","タークスの豪腕","111070202","✓","✓"
"VII","Elena","","Elbow Grease","15% chance to begin the round with full ATB gauge","Use Elena's Memory Crystal","努力家の秘技","111070210","✓","✓"
"VII","Elena","","New Recruit","PHY attacks deal 20% more damage when equipping a gun","Use Elena's Memory Crystal II, chance to obtain with Elena in party","タークスの新人","111070211","✓","✓"
"VII","Elena","","First Fist","ATK +15% when equipping a fist weapon","Bring Elena to level 99","格闘クラスのエリート","111070212","✓","✓"
"VII","Genesis","","Rebel SOLDIER","ATK +5% for each 10% missing HP","Use Genesis's Memory Crystal","反旗のソルジャー","111070800","✓","✓"
"VII","Genesis","","Gift of the Goddess","Increases Fire damage dealt by 20%","Use Genesis's Memory Crystal II, chance to obtain with Genesis in party","女神の贈り物","111070801","✓","✓"
"VII","Genesis","","Twisted Creator","PHY attacks deal 30% more damage when equipping a sword","Bring Genesis to level 99","ゆがんだ創造主","111070802","✓","✓"
"VIII","Squall","","Composure","Attack turns into an ability (PHY: single, 1.20 physical) that grants 35 Soul Break points","Use Squall's Memory Crystal","冷静沈着","111080010","✓","✓"
"VIII","Squall","","Gunblade","16% chance to turn Attack into an ability (PHY: single, 2.50 physical)","Chance to obtain with Squall in party","ガンブレード","111080011","✓","✓"
"VIII","Squall","","Lionheart","Taking damage grants 50% more Soul Break points","Use Squall's Memory Crystal II, chance to obtain with Squall in party","獅子の魂","111080012","✓","✓"
"VIII","Squall","","Orphaned Cub","Increases Ice damage dealt by 30%","Bring Squall to level 99","孤高の若獅子","111080013","✓","✓"
"VIII","Rinoa","","Angelo Recover","30% chance to turn Attack into an ability (PHY: single, 0.90 physical, heals the user for 8% of the damage dealt)","Use Rinoa's Memory Crystal","アンジェロリカバー","111080020","✓","✓"
"VIII","Rinoa","","Witch of Succession","BLK attacks deal 15% more damage","Use Rinoa's Memory Crystal II, chance to obtain with Rinoa in party","魔女の継承者","111080021","✓","✓"
"VIII","Rinoa","","Sorceress's Vow","BLK attacks deal 25% more damage","Bring Rinoa to level 99","約束の場所で待つ魔女","111080022","✓","✓"
"VIII","Quistis","","Keen Eye","Increases damage dealt by 10% when exploiting elemental weakness","Use Quistis's Memory Crystal","観察眼","111080030","✓","✓"
"VIII","Quistis","","Instructor's Discipline","PHY attacks deal 20% more damage when equipping a whip","Use Quistis's Memory Crystal II, chance to obtain with Quistis in party","教官のムチ","111080031","✓","✓"
"VIII","Quistis","","Trepies Forever","Increases Poison damage dealt by 30%","Bring Quistis to level 99","トゥリープFCの応援","111080032","✓","✓"
"VIII","Zell","","Untapped Power","ATK +5% for each 10% missing HP","Use Zell's Memory Crystal","底力","111080040","✓","✓"
"VIII","Zell","","Raw Power","50% chance to begin the round with full ATB gauge","Chance to obtain with Zell in party","勢い任せ","111080041","✓","✓"
"VIII","Zell","","Balamb Firebrand","Monk abilities deal 30% more damage","Use Zell's Memory Crystal II, chance to obtain with Zell in party","バラムの暴れん坊","111080042","✓","✓"
"VIII","Zell","","No Chicken Wuss","PHY attacks deal 30% more damage when equipping a fist weapon","Bring Zell to level 99","脱チキン野郎","111080043","✓","✓"
"VIII","Selphie","","Slots","30% chance to randomly turn Attack into Fire, Blizzard or Thunder","Use Selphie's Memory Crystal","スロット","111080050","✓","✓"
"VIII","Selphie","","Flower of Trabia","Attack turns into an ability (WHT: single, 1.80 magical Holy)","Use Selphie's Memory Crystal II, chance to obtain with Selphie in party","トラビアの元気娘","111080051","✓","✓"
"VIII","Selphie","","Shrewd Negotiator","MND +25% when equipping a rod","Bring Selphie to level 99","辣腕な実行委員","111080052","✓","✓"
"VIII","Irvine","","Solitude","ATK and DEF +10% for each KO'd or missing party member","Use Irvine's Memory Crystal","孤独","111080060","✓","✓"
"VIII","Irvine","","Master Sniper","PHY attacks deal 20% more damage when equipping a gun","Chance to obtain with Irvine in party","狙撃の名手","111080061","✓","✓"
"VIII","Irvine","","Fragile Psyche","ATK and DEF +10%, causes Confuse at the beginning of the battle","Use Irvine's Memory Crystal II, chance to obtain with Irvine in party","繊細な心","111080062","✓","✓"
"VIII","Irvine","","Nerves of Steel","Sharpshooter abilities deal 40% more damage","Bring Irvine to level 99","重圧を超えし狙撃手","111080063","✓","✓"
"VIII","Seifer","","Dirty Trick","10% chance to turn Attack into an ability (NAT: single, 1.50 magical Fire followed by 1.00 physical)","Use Seifer's Memory Crystal","禁じ手","111080070","✓","✓"
"VIII","Seifer","","Fallen Gunblade","Darkness abilities deal 20% more damage","Use Seifer's Memory Crystal II, chance to obtain with Seifer in party","悪しき魔女の騎士","111080071","✓","✓"
"VIII","Seifer","","Worthy Rival","24% chance to turn Attack into Gaia's Cross","Bring Seifer to level 99","夢見し好敵手","111080072","✓","✓"
"VIII","Laguna","","The Fairies' Boon","PHY attacks deal 10% more damage when equipping a gun","Use Laguna's Memory Crystal","妖精さんの力","111080090","✓","✓"
"VIII","Laguna","","Charismatic Aura","ATK and DEF +10%, grants [Low Regen] at the beginning of the battle","Use Laguna's Memory Crystal II, chance to obtain with Laguna in party","天性のカリスマ","111080091","✓","✓"
"VIII","Laguna","","Destiny's Burden","Machinist abilities deal 35% more damage","Bring Laguna to level 99","命運を担う者","111080092","✓","✓"
"VIII","Edea","","Icy Manipulator","30% chance to turn Attack into an ability (BLK: single, 0.70 magical Ice)","Use Edea's Memory Crystal","冷酷な支配者","111080100","✓","✓"
"VIII","Edea","","Chosen Sorceress","MAG +10% when equipping a thrown weapon","Use Edea's Memory Crystal II, chance to obtain with Edea in party","選ばれし魔女","111080101","✓","✓"
"VIII","Edea","","Successor's Power","Witch abilities deal 35% more damage","Bring Edea to level 99","継承せし魔女の力","111080102","✓","✓"
"VIII","Raijin","","Faithful Friend","30% chance to turn Attack into an ability (NAT: single, restores HP for 40% of the target's maximum HP)","Use Raijin's Memory Crystal","気のいい大男","111080120","✓","✓"
"VIII","Raijin","","Firm Discipline","Increases Lightning damage dealt by 20%","Use Raijin's Memory Crystal II, chance to obtain with Raijin in party","いかつい風紀委員","111080121","✓","✓"
"VIII","Raijin","","Solemn Warrior","24% chance to turn Attack into Exploding Fist","Bring Raijin to level 99","純粋な豪傑","111080122","✓","✓"
"VIII","Fujin","","Terse Beauty","If an ally has negative effects, 40% chance to turn Attack into an ability (NAT: single, removes negative effects)","Use Fujin's Memory Crystal","寡黙な美女","111080130","✓","✓"
"VIII","Fujin","","Stern Discipline","Increases Wind damage dealt by 20%","Use Fujin's Memory Crystal II, chance to obtain with Fujin in party","眼帯の風紀委員","111080131","✓","✓"
"VIII","Fujin","","Silvered Warrior","MAG and RES +13% when equipping a thrown weapon","Bring Fujin to level 99","銀髪の女傑","111080132","✓","✓"
"VIII","Kiros","","Straight Man","Ninja abilities deal 15% more damage","Use Kiros's Memory Crystal","チームのツッコミ役","111080150","✓","✓"
"VIII","Kiros","","Loyal Friend","40% chance to turn Attack into an ability (PHY: single, 2x 1.00 physical)","Use Kiros's Memory Crystal II, chance to obtain with Kiros in party","友という名の娯楽","111080151","✓","✓"
"VIII","Kiros","","Eccentric Styling","24% chance to turn Attack into Ancestral Reflection","Bring Kiros to level 99","奇抜なファッション","111080152","✓","✓"
"VIII","Ward","","Profound Depths","Dragoon abilities deal 15% more damage","Use Ward's Memory Crystal","豊かな表情","111080160","✓","✓"
"VIII","Ward","","Gentle Giant","ATK +13% when equipping a spear","Use Ward's Memory Crystal II, chance to obtain with Ward in party","愛嬌溢れる巨漢","111080161","✓","✓"
"VIII","Ward","","Silent Bond","48% chance to turn Attack into Soaring Jump","Bring Ward to level 99","無声の絆","111080162","✓","✓"
"VIII","Ultimecia","","Future Witch","MAG +10%, RES -10%","Use Ultimecia's Memory Crystal","未来の魔女","111080200","✓","✓"
"VIII","Ultimecia","","Witch's Plot","Increases Wind damage dealt by 20%","Use Ultimecia's Memory Crystal II, chance to obtain with Ultimecia in party","魔女の深謀","111080201","✓","✓"
"VIII","Ultimecia","","Heart of Fury","BLK attacks deal 30% more damage when equipping a rod","Bring Ultimecia to level 99","怒りに満ちた心","111080202","✓","✓"
"IX","Zidane","","Thief's Code","Grants [Haste] at the beginning of the battle","Use Zidane's Memory Crystal","盗賊の掟","111090010","✓","✓"
"IX","Zidane","","Prestidigitation","13% chance to dualcast Thief abilities","Use Zidane's Memory Crystal II, chance to obtain with Zidane in party","盗賊の早業","111090011","✓","✓"
"IX","Zidane","","Tantalus Code","Thief abilities deal 40% more damage","Bring Zidane to level 99","タンタラスのオキテ","111090012","✓","✓"
"IX","Garnet","","Blessing of Alexandria","Grants [Low Regen] when HP fall below 20%","Use Garnet's Memory Crystal","アレクサンドリアの加護","111090020","✓","✓"
"IX","Garnet","","Healer","Attack turns into an ability (WHT: single, restores HP (13))","Chance to obtain with Garnet in party","いやしの","111090021","✓","✓"
"IX","Garnet","","Blood of the Summoner","20% chance to dualcast Summoning abilities","Use Garnet's Memory Crystal II, chance to obtain with Garnet in party","召喚士の血筋","111090022","✓","✓"
"IX","Garnet","","Dagger's Will","MAG and MND +13% when equipping a dagger","Bring Garnet to level 99","ダガーが刻む意志","111090023","✓","✓"
"IX","Vivi","","Rod Master","BLK attacks deal 10% more damage when equipping a rod","Use Vivi's Memory Crystal","ロッドの使い手","111090030","✓","✓"
"IX","Vivi","","Devotion","MAG +20%, DEF and RES -10%","Chance to obtain with Vivi in party","専念","111090031","✓","✓"
"IX","Vivi","","Black Mage's Awakening","Attack turns into an ability (BLK: single, 2.00 magical)","Use Vivi's Memory Crystal II, chance to obtain with Vivi in party","黒魔道士の覚醒","111090032","✓","✓"
"IX","Vivi","","Spark of Life","Increases Fire damage dealt by 30%","Bring Vivi to level 99","いのちのあかし","111090033","✓","✓"
"IX","Steiner","","Ironclad","DEF +10% when equipping a heavy armor","Use Steiner's Memory Crystal","強固たる鎧","111090040","✓","✓"
"IX","Steiner","","Knight's Pride","25% chance to counter PHY attacks with an ability (NAT: self, grants [Protect])","Chance to obtain with Steiner in party","騎士の誇り","111090041","✓","✓"
"IX","Steiner","","Knight's Charge","Acting and taking damage grants 25% more Soul Break points","Use Steiner's Memory Crystal II, chance to obtain with Steiner in party","騎士の底力","111090042","✓","✓"
"IX","Steiner","","Unbending Loyalty","DEF +25% when equipping a heavy armor","Bring Steiner to level 99","真の忠節","111090043","✓","✓"
"IX","Freya","","Burmecian Dragon Knight","Dragoon abilities deal 15% more damage","Use Freya's Memory Crystal","ブルメシアの竜騎士","111090050","✓","✓"
"IX","Freya","","Warrior Extraordinaire","ATK and DEF +10% when equipping a light armor","Use Freya's Memory Crystal II, chance to obtain with Freya in party","精鋭戦士","111090051","✓","✓"
"IX","Freya","","Undaunted Dragon Knight","48% chance to turn Attack into Leeching Leap","Bring Freya to level 99","気品漂う女竜騎士","111090052","✓","✓"
"IX","Quina","","Hunger of the Qu","16% chance to turn Attack into Drain Strike","Use Quina's Memory Crystal","ク族の食欲","111090060","✓","✓"
"IX","Quina","","Secrets of the Qu","Support abilities deal 30% more damage","Chance to obtain with Quina in party","ク族の秘伝","111090061","✓","✓"
"IX","Quina","","Arms of the Qu","PHY attacks deal 20% more damage when equipping a spear","Use Quina's Memory Crystal II, chance to obtain with Quina in party","ク族の武器","111090062","✓","✓"
"IX","Quina","","Qu Pathfinder","60% chance to turn Attack into Drain Strike","Bring Quina to level 99","ク族の求道者","111090064","✓","✓"
"IX","Eiko","","Impetuous Youth","MAG +10%, RES -10%","Use Eiko's Memory Crystal","おませ","111090070","✓","✓"
"IX","Eiko","","Impish Recital","PHY attacks deal 20% more damage when equipping an instrument","Use Eiko's Memory Crystal II, chance to obtain with Eiko in party","お茶目な演奏","111090071","✓","✓"
"IX","Eiko","","Uplifting Melody","MND +25% when equipping an instrument","Bring Eiko to level 99","友に捧ぐ演奏","111090072","✓","✓"
"IX","Amarant","","Way of the Fist","PHY attacks deal 10% more damage when equipping a fist weapon","Use Amarant's Memory Crystal","孤高の拳士","111090080","✓","✓"
"IX","Amarant","","Bounty Hunter","Grants [Draw Fire] for 15 seconds at the beginning of the battle","Use Amarant's Memory Crystal II, chance to obtain with Amarant in party","賞金首の男","111090081","✓","✓"
"IX","Amarant","","Flaming Stand","Grants [Last Stand] at the beginning of the battle","Bring Amarant to level 99","焔色の拳闘家","111090082","✓","✓"
"IX","Beatrix","","Sacred Duty","50% chance to restore 1 use for all Knight abilities at the beginning of the battle","Use Beatrix's Memory Crystal","聖騎士の使命","111090090","✓","✓"
"IX","Beatrix","","One-Eyed General","PHY attacks deal 20% more damage when equipping a sword","Use Beatrix's Memory Crystal II, chance to obtain with Beatrix in party","隻眼の将軍","111090091","✓","✓"
"IX","Beatrix","","Veteran General","24% chance to turn Attack into Saint Cross","Bring Beatrix to level 99","百戦錬磨の女将軍","111090092","✓","✓"
"IX","Kuja","","Silver Genome","Increases Dark damage dealt by 10%","Use Kuja's Memory Crystal","銀髪のジェノム","111090100","✓","✓"
"IX","Kuja","","Dark Fate","Increases Dark damage dealt by 20%","Use Kuja's Memory Crystal II, chance to obtain with Kuja in party","闇の運命","111090101","✓","✓"
"IX","Kuja","","Inevitable Fate","Causes Doom: 60 at the beginning of the battle","Bring Kuja to level 99","定められた宿命","111090102","✓","✓"
"IX","Marcus","","Thick as Thieves","ATK +10% when equipping a dagger","Use Marcus's Memory Crystal","盗賊一座","111090150","✓","✓"
"IX","Marcus","","Blood Brother","PHY attacks deal 20% more damage when equipping a dagger","Use Marcus's Memory Crystal II, chance to obtain with Marcus in party","手だれの弟分","111090151","✓","✓"
"IX","Marcus","","Noble Thief","ATK and DEF +10%, grants [Haste] at the beginning of the battle","Bring Marcus to level 99","礼儀正しき盗賊","111090152","✓","✓"
"X","Tidus","","Winning Spirit","Grants [Haste] when HP fall below 20%","Use Tidus's Memory Crystal","エースの意地","111100010","✓","✓"
"X","Tidus","","High Scorer","Attack turns into an ability (PHY: single, 1.00 physical) that grants 65 Soul Break points","Chance to obtain with Tidus in party","ポイントゲッター","111100011","✓","✓"
"X","Tidus","","Ace Striker","Acting grants 50% more Soul Break points","Use Tidus's Memory Crystal II, chance to obtain with Tidus in party","エースストライカー","111100012","✓","✓"
"X","Tidus","","Dreamguide","Increases Water damage dealt by 30%","Bring Tidus to level 99","スピラを導く夢","111100013","✓","✓"
"X","Yuna","","Light of the Fayth","WHT abilities restore 10% more HP","Use Yuna's Memory Crystal","祈り子の光","111100020","✓","✓"
"X","Yuna","","Summoner's Prayer","MND +20% when equipping a rod","Use Yuna' Memory Crystal II, chance to obtain with Yuna in party","召喚士の祈り","111100021","✓","✓"
"X","Yuna","","Savior of Spira","SUM attacks deal 30% more damage","Bring Yuna to level 99","スピラを救う想い","111100022","✓","✓"
"X","Wakka","","Preemptive Strike","15% chance to begin the round with full ATB gauge","Use Wakka's Memory Crystal","速攻","111100030","✓","✓"
"X","Wakka","","Blitz-Eye","Attack turns into Aim","Chance to obtain with Wakka in party","百発百中","111100031","✓","✓"
"X","Wakka","","Self Discipline","Grants [High Regen] when HP fall below 50%","Use Wakka's Memory Crystal II, chance to obtain with Wakka in party","フィジカルコントロール","111100071","✓","✓"
"X","Wakka","","Heart of the Team","PHY attacks deal 30% more damage when equipping a blitzball","Bring Wakka to level 99","チームの大黒柱","111100033","✓","✓"
"X","Lulu","","Inner Fire","Increases Fire damage dealt by 10%","Use Lulu's Memory Crystal","熱き己","111100040","✓","✓"
"X","Lulu","","Ice Beauty","Increases Ice damage dealt by 20%","Use Lulu's Memory Crystal II, chance to obtain with Lulu in party","氷の美女","111100041","✓","✓"
"X","Lulu","","Doll Collector","MAG +15% when equipping a doll","Bring Lulu to level 99","美女のコレクション","111100042","✓","✓"
"X","Kimahri","","Ronso Pride","PHY attacks deal 10% more damage when equipping a spear","Use Kimahri's Memory Crystal","ロンゾの誇り","111100050","✓","✓"
"X","Kimahri","","Guardian","Grants [Magical Blink 1] when HP fall below 10%","Chance to obtain with Kimahri in party","護る者","111100051","✓","✓"
"X","Kimahri","","Proud Tradition","49% chance to turn Attack into Jump","Use Kimahri's Memory Crystal II, chance to obtain with Kimahri in party","誇り高き獣人","111100052","✓","✓"
"X","Kimahri","","Unyielding Resolve","Attack turns into Jump","Bring Kimahri to level 99","押し通す意志","111100053","✓","✓"
"X","Rikku","","Machina Meddler","50% chance to restore 1 use for all Thief abilities at the beginning of the battle","Use Rikku's Memory Crystal","機械いじり","111100060","✓","✓"
"X","Rikku","","Al Bhed Ingenuity","Thief abilities deal 30% more damage","Use Rikku's Memory Crystal II, chance to obtain with Rikku in party","アルベドの早業","111100061","✓","✓"
"X","Rikku","","Fleet-Footed Hunter","24% chance to turn Attack into Quick Hit","Bring Rikku to level 99","神速のハンター","111100062","✓","✓"
"X","Auron","","Bushido","PHY attacks deal 10% more damage when equipping a katana","Use Auron's Memory Crystal","秘伝の技","111100070","✓","✓"
"X","Auron","","Legend's Blade","13% chance to dualcast Samurai abilities","Use Auron's Memory Crystal II, chance to obtain with Auron in party","伝説のガードの太刀","111100072","✓","✓"
"X","Auron","","Untarnished Spirit","Samurai abilities deal 40% more damage","Bring Auron to level 99","朽ちぬ魂","111100073","✓","✓"
"X","Jecht","","Legendary Shot","PHY attacks deal 10% more damage when equipping a blitzball","Use Jecht's Memory Crystal","伝説のシュート","111100101","✓","✓"
"X","Jecht","","Heavy-Handed Father","14% chance to turn Attack into Exploding Fist","Use Jecht's Memory Crystal II, chance to obtain with Jecht in party","不器用な父親","111100102","✓","✓"
"X","Jecht","","Ace of Aces","ATK and DEF +13% when equipping a fist weapon","Bring Jecht to level 99","元祖エース選手","111100103","✓","✓"
"X","Braska","","Selfless Summoner","MAG +10%, RES -10%","Use Braska's Memory Crystal","闊達な大召喚士","111100120","✓","✓"
"X","Braska","","Summoner's Resolve","SUM attacks deal 20% more damage","Use Braska's Memory Crystal II, chance to obtain with Braska in party","究極召喚への決意","111100121","✓","✓"
"X","Braska","","Unwavering Vision","MAG +15% when equipping a staff","Bring Braska to level 99","未来をつなぐ意志","111100122","✓","✓"
"X","Paine","","Woman of Mystery","Spellblade abilities deal 15% more damage","Use Paine's Memory Crystal","謎めいた女剣士","111100150","✓","✓"
"X","Paine","","Gullwing Blade","Spellblade abilities deal 30% more damage","Use Paine's Memory Crystal II, chance to obtain with Paine in party","カモメ団の剣士","111100151","✓","✓"
"X","Paine","","Steely Warrior","24% chance to turn Attack into Engulfing Quadstrike","Bring Paine to level 99","冷静沈着な剣士","111100152","✓","✓"
"X","Seymour","","Maester of Yevon","MAG +10% when equipping a rod","Use Seymour's Memory Crystal","エボンの老師","111100180","✓","✓"
"X","Seymour","","Twisted Summoner","17% chance to turn Attack into an ability (SUM: randomly casts Goblin, Chocobo, Drake, Bomb, Shiva, Ramuh, Ifrit or Bahamut)","Use Seymour's Memory Crystal II, chance to obtain with Seymour in party","暗黒の召喚術","111100181","✓","✓"
"X","Seymour","","Mad Obsession","DEF and MAG +13% when equipping a staff","Bring Seymour to level 99","狂気の執着","111100182","✓","✓"
"XI","Shantotto","","Minister of Windurst","BLK attacks deal 10% more damage when equipping a staff","Use Shantotto's Memory Crystal","ウィンダス3博士のひとり","111110010","✓","✓"
"XI","Shantotto","","Legendary Lady","BLK attacks deal 20% more damage when equipping a staff","Use Shantotto's Memory Crystal II, chance to obtain with Shantotto in party","伝説の淑女","111110011","✓","✓"
"XI","Shantotto","","Witch's Cackle","BLK attacks deal 30% more damage when equipping a staff","Bring Shantotto to level 99","魔女の高笑い","111110012","✓","✓"
"XI","Ayame","","Mighty Musketeer","Samurai abilities deal 15% more damage","Use Ayame's Memory Crystal","ミスリル銃士紅一点","111110020","✓","✓"
"XI","Ayame","","Blade of Bastok","12% chance to turn Attack into Flashing Blade","Use Ayame's Memory Crystal II, chance to obtain with Ayame in party","バストゥークの懐刀","111110021","✓","✓"
"XI","Ayame","","Hardened Faith","24% chance to turn Attack into Hailstorm","Bring Ayame to level 99","研ぎ澄ます信念","111110022","✓","✓"
"XI","Curilla","","Noble Beauty","Knight abilities deal 15% more damage","Use Curilla's Memory Crystal","高貴なる麗人","111110030","✓","✓"
"XI","Curilla","","First Sword","DEF +20% when equipping a sword","Use Curilla's Memory Crystal II, chance to obtain with Curilla in party","王国一の剣技","111110031","✓","✓"
"XI","Curilla","","Knight Captain","Grants Sentinel at the beginning of the battle","Bring Curilla to level 99","神殿騎士団の長","111110032","✓","✓"
"XI","Prishe","","Ageless Maiden","Grants [Low Regen] at the beginning of the battle","Use Prishe's Memory Crystal","不老の少女","111110040","✓","✓"
"XI","Prishe","","Feeling Peckish","40% chance to turn attack into Drain Strike","Use Prishe's Memory Crystal II, chance to obtain with Prishe in party","腹ペコ","111110041","✓","✓"
"XI","Prishe","","Unexpected Assault","Attack turns into an ability (PHY: single, 3x 0.66 physical)","Bring Prishe to level 99","破天荒","111110042","✓","✓"
"XI","Lion","","Fleeting Strike","Attack turns into an ability (PHY: single, 2x 0.65 physical)","Use Lion's Memory Crystal","俊敏なる体術","111110050","✓","✓"
"XI","Lion","","Ace Agent","Grants [Haste] at the beginning of the battle, ATK +10%","Use Lion's Memory Crystal II, chance to obtain with Lion in party","凄腕のエージェント","111110051","✓","✓"
