"Character","Realm","Season","Group","Name","Type","Synergy","Combine","Rarity","Level","ATK","DEF","MAG","RES","MND","ACC","EVA","Fixed Passive Effects","Random Passive Effects","Brar","Blv","Batk","Bdef","Bmag","Bres","Bmnd","Bacc","Beva","Mrar","Mlv","Matk","Mdef","Mmag","Mres","Mmnd","Macc","Meva","ID","GL"
"Ward","VIII","2","F","Gaia Ring","Accessory","","","S","1","0","0","0","0","0","0","0","HP +500
Prismatic resistance (moderate)","Quick Cast 4/5/6/7/8%","S","1","","","","","","","","S","1","","","","","","","","23380215","✓"
"Seifer","VIII","3","I","Hyperion","Sword","","","S","50","266","0","0","0","0","95","0","Deadly Strikes 5
Prismatic damage +20%","Fire/Dark +1/2/3/4/5% Boost
Quick Cast 3/4/5%
Grants [ATK +10% (8s)]/[ATK +20% (8s)]/[ATK +30% (8s)] at the beginning of the battle","S","50","172","","","","","95","","S","99","360","","","","","95","","21302100","✓"
"Seifer","VIII","3","I","Seifer's Coat","Light Armor","","","S","50","49","122","0","122","0","0","100","Precise Strike 5
Prismatic damage +20%","Fire/Dark Ability +1/2/3/4/5% Boost
Grants [20% Damage Reduction Barrier 1 Follow-Up]/[30% Damage Reduction Barrier 1 Follow-Up]/[40% Damage Reduction Barrier 1 Follow-Up] at the beginning of the battle
Grants [DEF +10% (8s)]/[DEF +20% (8s)]/[DEF +30% (8s)] at the beginning of the battle","S","50","36","50","","50","","","100","S","99","62","194","","194","","","100","22353063","✓"
"Seifer","VIII","3","I","Seifer's Necklace","Accessory","","","S","1","0","0","0","0","0","0","0","HP +500
Prismatic resistance (moderate)","Quick Cast 4/5/6/7/8%","S","1","","","","","","","","S","1","","","","","","","","23380416","✓"
"Raijin","VIII","3","K","Raijin's Staff","Hammer","","","S","50","266","0","0","0","0","95","0","Deadly Strikes 5
Prismatic damage +20%","Lightning +1/2/3/4/5% Boost
Quick Cast 3/4/5%
Grants [ATK +10% (8s)]/[ATK +20% (8s)]/[ATK +30% (8s)] at the beginning of the battle","S","50","172","","","","","95","","S","99","360","","","","","95","","21305020","✓"
"Raijin","VIII","3","K","Raijin's Pauldron","Light Armor","","","S","50","49","122","0","122","0","0","100","Precise Strike 5
Prismatic damage +20%","Lightning Ability +1/2/3/4/5% Boost
Grants [20% Damage Reduction Barrier 1 Follow-Up]/[30% Damage Reduction Barrier 1 Follow-Up]/[40% Damage Reduction Barrier 1 Follow-Up] at the beginning of the battle
Grants [DEF +10% (8s)]/[DEF +20% (8s)]/[DEF +30% (8s)] at the beginning of the battle","S","50","36","50","","50","","","100","S","99","62","194","","194","","","100","22353140","✓"
"Raijin","VIII","3","K","Power Vest","Accessory","","","S","1","0","0","0","0","0","0","0","HP +500
Prismatic resistance (moderate)","Quick Cast 4/5/6/7/8%","S","1","","","","","","","","S","1","","","","","","","","23380090","✓"
"Fujin","VIII","3","L","Fujin's Shin-Chakram","Thrown","","","S","50","0","0","258","0","0","95","0","Hand of Vengeance 5
Prismatic damage +20%","Wind +1/2/3/4/5% Boost
Quick Cast 3/4/5%
Grants [MAG +10% (8s)]/[MAG +20% (8s)]/[MAG +30% (8s)] at the beginning of the battle","S","50","","","165","","","95","","S","99","","","350","","","95","","21313045","✓"
"Fujin","VIII","3","L","Fujin's Jacket","Light Armor","","","S","50","0","122","49","122","0","0","100","Empower Healing 5%
Prismatic damage +20%","Wind Ability +1/2/3/4/5% Boost
Grants [20% Damage Reduction Barrier 1 Follow-Up]/[30% Damage Reduction Barrier 1 Follow-Up]/[40% Damage Reduction Barrier 1 Follow-Up] at the beginning of the battle
Grants [RES +10% (8s)]/[RES +20% (8s)]/[RES +30% (8s)] at the beginning of the battle","S","50","","50","36","50","","","100","S","99","","194","62","194","","","100","22353028","✓"
"Fujin","VIII","3","L","Fujin's Eyepatch","Accessory","","","S","1","0","0","0","0","0","0","0","HP +500
Prismatic resistance (moderate)","Quick Cast 4/5/6/7/8%","S","1","","","","","","","","S","1","","","","","","","","23380283","✓"
"Zell","VIII","4","N","Ehrgeiz","Fist","","","S","50","266","0","0","0","0","95","0","Deadly Strikes 5
Prismatic damage +20%","Fire +1/2/3/4/5% Boost
Quick Cast 3/4/5%
Grants [ATK +10% (8s)]/[ATK +20% (8s)]/[ATK +30% (8s)] at the beginning of the battle","S","50","172","","","","","95","","S","99","360","","","","","95","","21307051","✓"
"Zell","VIII","4","N","Zell's Jacket","Light Armor","","","S","50","49","122","0","122","0","0","100","Precise Strike 5
Prismatic damage +20%","Fire Ability +1/2/3/4/5% Boost
Grants [20% Damage Reduction Barrier 1 Follow-Up]/[30% Damage Reduction Barrier 1 Follow-Up]/[40% Damage Reduction Barrier 1 Follow-Up] at the beginning of the battle
Grants [DEF +10% (8s)]/[DEF +20% (8s)]/[DEF +30% (8s)] at the beginning of the battle","S","50","36","50","","50","","","100","S","99","62","194","","194","","","100","22353184","✓"
"Zell","VIII","4","N","Hyper Wrist","Accessory","","","S","1","0","0","0","0","0","0","0","HP +500
Prismatic resistance (moderate)","Quick Cast 4/5/6/7/8%","S","1","","","","","","","","S","1","","","","","","","","23380047","✓"
"Quistis","VIII","4","O","Red Scorpion","Whip","","","S","50","0","0","258","0","0","95","0","Hand of Vengeance 5
Prismatic damage +20%","Water/Poison +1/2/3/4/5% Boost
Quick Cast 3/4/5%
Grants [MAG +10% (8s)]/[MAG +20% (8s)]/[MAG +30% (8s)] at the beginning of the battle","S","50","","","165","","","95","","S","99","","","350","","","95","","21312009","✓"
"Quistis","VIII","4","O","Quistis's Dress","Light Armor","","","S","50","0","122","49","122","0","0","100","Empower Healing 5%
Prismatic damage +20%","Water/Poison Ability +1/2/3/4/5% Boost
Grants [20% Damage Reduction Barrier 1 Follow-Up]/[30% Damage Reduction Barrier 1 Follow-Up]/[40% Damage Reduction Barrier 1 Follow-Up] at the beginning of the battle
Grants [RES +10% (8s)]/[RES +20% (8s)]/[RES +30% (8s)] at the beginning of the battle","S","50","","50","36","50","","","100","S","99","","194","62","194","","","100","22353121","✓"
"Quistis","VIII","4","O","Quistis's Glasses","Accessory","","","S","1","0","0","0","0","0","0","0","HP +500
Prismatic resistance (moderate)","Quick Cast 4/5/6/7/8%","S","1","","","","","","","","S","1","","","","","","","","23380153","✓"
"Squall","VIII","4","Q","Lion Heart","Sword","","","S","50","266","0","0","0","0","95","0","Deadly Strikes 5
Prismatic damage +20%","Fire/Ice +1/2/3/4/5% Boost
Quick Cast 3/4/5%
Grants [ATK +10% (8s)]/[ATK +20% (8s)]/[ATK +30% (8s)] at the beginning of the battle","S","50","172","","","","","95","","S","99","360","","","","","95","","21302170","✓"
"Squall","VIII","4","Q","Squall's Jacket","Light Armor","","","S","50","49","122","0","122","0","0","100","Precise Strike 5
Prismatic damage +20%","Fire/Ice Ability +1/2/3/4/5% Boost
Grants [20% Damage Reduction Barrier 1 Follow-Up]/[30% Damage Reduction Barrier 1 Follow-Up]/[40% Damage Reduction Barrier 1 Follow-Up] at the beginning of the battle
Grants [DEF +10% (8s)]/[DEF +20% (8s)]/[DEF +30% (8s)] at the beginning of the battle","S","50","36","50","","50","","","100","S","99","62","194","","194","","","100","22353057","✓"
"Squall","VIII","4","Q","Squall's Necklace","Accessory","","","S","1","0","0","0","0","0","0","0","HP +500
Prismatic resistance (moderate)","Quick Cast 4/5/6/7/8%","S","1","","","","","","","","S","1","","","","","","","","23380112","✓"
"Laguna","VIII","4","Q","Machine Gun","Gun","","","S","50","253","0","0","0","0","95","0","Deadly Strikes 5
Prismatic damage +20%","Ice +1/2/3/4/5% Boost
Quick Cast 3/4/5%
Grants [ATK +10% (8s)]/[ATK +20% (8s)]/[ATK +30% (8s)] at the beginning of the battle","S","50","160","","","","","95","","S","99","346","","","","","95","","21315023","✓"
"Laguna","VIII","4","Q","Laguna's Jacket","Light Armor","","","S","50","49","122","0","122","0","0","100","Precise Strike 5
Prismatic damage +20%","Ice Ability +1/2/3/4/5% Boost
Grants [20% Damage Reduction Barrier 1 Follow-Up]/[30% Damage Reduction Barrier 1 Follow-Up]/[40% Damage Reduction Barrier 1 Follow-Up] at the beginning of the battle
Grants [DEF +10% (8s)]/[DEF +20% (8s)]/[DEF +30% (8s)] at the beginning of the battle","S","50","36","50","","50","","","100","S","99","62","194","","194","","","100","22353081","✓"
"Laguna","VIII","4","Q","Laguna's Bracelet","Accessory","","","S","1","0","0","0","0","0","0","0","HP +500
Prismatic resistance (moderate)","Quick Cast 4/5/6/7/8%","S","1","","","","","","","","S","1","","","","","","","","23380585","✓"
"Selphie","VIII","4","Q","Strange Vision","Rod","","","S","50","0","0","129","0","258","95","0","Empower Healing 5%
Prismatic damage +20%","WHT Heals +1/2/3/4/5%
Quick Cast 3/4/5%
Grants [MND +10% (8s)]/[MND +20% (8s)]/[MND +30% (8s)] at the beginning of the battle","S","50","","","83","","165","95","","S","99","","","175","","350","95","","21308058","✓"
"Selphie","VIII","4","Q","Selphie's Guise","Light Armor","","","S","50","0","122","0","122","49","0","100","Max HP +5%
Prismatic damage +20%","White Magic +1/2/3/4/5% Boost
Grants [20% Damage Reduction Barrier 1 Follow-Up]/[30% Damage Reduction Barrier 1 Follow-Up]/[40% Damage Reduction Barrier 1 Follow-Up] at the beginning of the battle
Grants [RES +10% (8s)]/[RES +20% (8s)]/[RES +30% (8s)] at the beginning of the battle","S","50","","50","","50","36","","100","S","99","","194","","194","62","","100","22353141","✓"
"Selphie","VIII","4","Q","Selphie's Neckalce","Accessory","","","S","1","0","0","0","0","0","0","0","HP +500
Prismatic resistance (moderate)","Quick Cast 4/5/6/7/8%","S","1","","","","","","","","S","1","","","","","","","","23380413","✓"
"Irvine","VIII","5","2","Exeter","Gun","","","S","50","253","0","0","0","0","95","0","Deadly Strikes 5
Prismatic damage +20%","Fire +1/2/3/4/5% Boost
Quick Cast 3/4/5%
Grants [ATK +10% (8s)]/[ATK +20% (8s)]/[ATK +30% (8s)] at the beginning of the battle","S","50","160","","","","","95","","S","99","346","","","","","95","","21315019",""
"Irvine","VIII","5","2","Ten-Gallon Hat","Hat","","","S","50","49","101","0","143","0","0","105","Precise Strike 5
Prismatic damage +20%","Fire Ability +1/2/3/4/5% Boost
Grants [20% Damage Reduction Barrier 1 Follow-Up]/[30% Damage Reduction Barrier 1 Follow-Up]/[40% Damage Reduction Barrier 1 Follow-Up] at the beginning of the battle
Grants [DEF +10% (8s)]/[DEF +20% (8s)]/[DEF +30% (8s)] at the beginning of the battle","S","50","36","61","","76","","","105","S","99","62","140","","210","","","105","22351019",""
"Irvine","VIII","5","2","Irvine's Necklace","Accessory","","","S","1","0","0","0","0","0","0","0","HP +500
Prismatic resistance (moderate)","Quick Cast 4/5/6/7/8%","S","1","","","","","","","","S","1","","","","","","","","23380284",""
"Eiko","IX","1","B","Angel Flute","Instrument","","","S","50","0","0","258","0","129","95","0","Hand of Vengeance 5
Prismatic damage +20%","Wind +1/2/3/4/5% Boost
Quick Cast 3/4/5%
Grants [MAG +10% (8s)]/[MAG +20% (8s)]/[MAG +30% (8s)] at the beginning of the battle","S","50","","","165","","83","95","","S","99","","","350","","175","95","","21311029","✓"
"Eiko","IX","1","B","Eiko's Guise","Light Armor","","","S","50","0","122","39","122","0","0","100","Empower Healing 5%
Prismatic damage +20%","Wind Ability +1/2/3/4/5% Boost
Grants [20% Damage Reduction Barrier 1 Follow-Up]/[30% Damage Reduction Barrier 1 Follow-Up]/[40% Damage Reduction Barrier 1 Follow-Up] at the beginning of the battle
Grants [RES +10% (8s)]/[RES +20% (8s)]/[RES +30% (8s)] at the beginning of the battle","S","50","","50","26","50","","","100","S","99","","194","52","194","","","100","22353104","✓"
"Eiko","IX","1","B","Friendship Ribbon","Accessory","","","S","1","0","0","0","0","0","0","0","HP +500
Prismatic resistance (moderate)","Quick Cast 4/5/6/7/8%","S","1","","","","","","","","S","1","","","","","","","","23380158","✓"
"Freya","IX","1","B","Dragon Whisker","Spear","","","S","50","266","0","0","0","0","95","0","Deadly Strikes 5
Prismatic damage +20%","Wind +1/2/3/4/5% Boost
Quick Cast 3/4/5%
Grants [ATK +10% (8s)]/[ATK +20% (8s)]/[ATK +30% (8s)] at the beginning of the battle","S","50","172","","","","","95","","S","99","360","","","","","95","","21306139","✓"
"Freya","IX","1","B","Freya's Cap","Hat","","","S","50","49","101","0","143","0","0","105","Precise Strike 5
Prismatic damage +20%","Wind Ability +1/2/3/4/5% Boost
Grants [20% Damage Reduction Barrier 1 Follow-Up]/[30% Damage Reduction Barrier 1 Follow-Up]/[40% Damage Reduction Barrier 1 Follow-Up] at the beginning of the battle
Grants [DEF +10% (8s)]/[DEF +20% (8s)]/[DEF +30% (8s)] at the beginning of the battle","S","50","36","61","","76","","","105","S","99","62","140","","210","","","105","22351080","✓"
"Freya","IX","1","B","Freya's Rings","Accessory","","","S","1","0","0","0","0","0","0","0","HP +500
Prismatic resistance (moderate)","Quick Cast 4/5/6/7/8%","S","1","","","","","","","","S","1","","","","","","","","23380628","✓"
"Marcus","IX","1","B","Marcus's Sword","Sword","","","S","50","266","0","0","0","0","95","0","Deadly Strikes 5
Prismatic damage +20%","Wind/Poison +1/2/3/4/5% Boost
Quick Cast 3/4/5%
Grants [ATK +10% (8s)]/[ATK +20% (8s)]/[ATK +30% (8s)] at the beginning of the battle","S","50","172","","","","","95","","S","99","360","","","","","95","","21302329","✓"
"Marcus","IX","1","B","Marcus's Bandana","Hat","","","S","50","49","101","0","143","0","0","105","Precise Strike 5
Prismatic damage +20%","Wind/Poison Ability +1/2/3/4/5% Boost
Grants [20% Damage Reduction Barrier 1 Follow-Up]/[30% Damage Reduction Barrier 1 Follow-Up]/[40% Damage Reduction Barrier 1 Follow-Up] at the beginning of the battle
Grants [DEF +10% (8s)]/[DEF +20% (8s)]/[DEF +30% (8s)] at the beginning of the battle","S","50","36","61","","76","","","105","S","99","62","140","","210","","","105","22351134","✓"
"Marcus","IX","1","B","N-Kai Armlet","Accessory","","","S","1","0","0","0","0","0","0","0","HP +500
Prismatic resistance (moderate)","Quick Cast 4/5/6/7/8%","S","1","","","","","","","","S","1","","","","","","","","23380269","✓"
"Garnet","IX","2","G","Dagger of Resolve","Dagger","","","S","50","0","0","258","0","129","95","0","Hand of Vengeance 5
Prismatic damage +20%","Lightning/Holy +1/2/3/4/5% Boost
Quick Cast 3/4/5%
Grants [MAG +10% (8s)]/[MAG +20% (8s)]/[MAG +30% (8s)] at the beginning of the battle","S","50","","","165","","83","95","","S","99","","","350","","175","95","","21301090","✓"
"Garnet","IX","2","G","Garnet's Guise","Light Armor","","","S","50","0","122","39","122","39","0","100","Empower Healing 5%
Prismatic damage +20%","Lightning/Holy Ability +1/2/3/4/5% Boost
Grants [20% Damage Reduction Barrier 1 Follow-Up]/[30% Damage Reduction Barrier 1 Follow-Up]/[40% Damage Reduction Barrier 1 Follow-Up] at the beginning of the battle
Grants [RES +10% (8s)]/[RES +20% (8s)]/[RES +30% (8s)] at the beginning of the battle","S","50","","50","26","50","26","","100","S","99","","194","52","194","52","","100","22353275","✓"
"Garnet","IX","2","G","Princess's Tiara","Accessory","","","S","1","0","0","0","0","0","0","0","HP +500
Prismatic resistance (moderate)","Quick Cast 4/5/6/7/8%","S","1","","","","","","","","S","1","","","","","","","","23380359","✓"
"Steiner","IX","2","G","Excalibur II","Sword","","","S","50","266","0","0","0","0","95","0","Deadly Strikes 5
Prismatic damage +20%","Fire/Ice/Lightning +1/2/3/4/5% Boost
Quick Cast 3/4/5%
Grants [ATK +10% (8s)]/[ATK +20% (8s)]/[ATK +30% (8s)] at the beginning of the battle","S","50","172","","","","","95","","S","99","360","","","","","95","","21302161","✓"
"Steiner","IX","2","G","Tin Armor","Heavy Armor","","","S","50","49","165","0","115","0","0","105","Precise Strike 5
Prismatic damage +20%","Fire/Ice/Lightning Ability +1/2/3/4/5% Boost
Grants [20% Damage Reduction Barrier 1 Follow-Up]/[30% Damage Reduction Barrier 1 Follow-Up]/[40% Damage Reduction Barrier 1 Follow-Up] at the beginning of the battle
Grants [DEF +10% (8s)]/[DEF +20% (8s)]/[DEF +30% (8s)] at the beginning of the battle","S","50","36","96","","75","","","105","S","99","62","233","","155","","","105","22354057","✓"
"Steiner","IX","2","G","Steiner's Sabatons","Accessory","","","S","1","0","0","0","0","0","0","0","HP +500
Prismatic resistance (moderate)","Quick Cast 4/5/6/7/8%","S","1","","","","","","","","S","1","","","","","","","","23380524","✓"
"Beatrix","IX","2","H","Save the Queen","Sword","","","S","50","258","0","0","0","129","95","0","Deadly Strikes 5
Prismatic damage +20%","Holy +1/2/3/4/5% Boost
Quick Cast 3/4/5%
Grants [ATK +10% (8s)]/[ATK +20% (8s)]/[ATK +30% (8s)] at the beginning of the battle","S","50","165","","","","83","95","","S","99","350","","","","175","95","","21302111","✓"
"Beatrix","IX","2","H","Beatrix's Plate","Light Armor","","","S","50","49","122","0","122","0","0","100","Precise Strike 5
Prismatic damage +20%","Holy Ability +1/2/3/4/5% Boost
Grants [20% Damage Reduction Barrier 1 Follow-Up]/[30% Damage Reduction Barrier 1 Follow-Up]/[40% Damage Reduction Barrier 1 Follow-Up] at the beginning of the battle
Grants [DEF +10% (8s)]/[DEF +20% (8s)]/[DEF +30% (8s)] at the beginning of the battle","S","50","36","50","","50","","","100","S","99","62","194","","194","","","100","22353097","✓"
"Beatrix","IX","2","H","Beatrix's Eyepatch","Accessory","","","S","1","0","0","0","0","0","0","0","HP +500
Prismatic resistance (moderate)","Quick Cast 4/5/6/7/8%","S","1","","","","","","","","S","1","","","","","","","","23380361","✓"
"Zidane","IX","4","P","Sargatanas","Sword","","","S","50","266","0","0","0","0","95","0","Deadly Strikes 5
Prismatic damage +20%","Wind +1/2/3/4/5% Boost
Quick Cast 3/4/5%
Grants [ATK +10% (8s)]/[ATK +20% (8s)]/[ATK +30% (8s)] at the beginning of the battle","S","50","172","","","","","95","","S","99","360","","","","","95","","21302261","✓"
"Zidane","IX","4","P","Zidane's Vest","Light Armor","","","S","50","49","122","0","122","0","0","100","Precise Strike 5
Prismatic damage +20%","Wind Ability +1/2/3/4/5% Boost
Grants [20% Damage Reduction Barrier 1 Follow-Up]/[30% Damage Reduction Barrier 1 Follow-Up]/[40% Damage Reduction Barrier 1 Follow-Up] at the beginning of the battle
Grants [DEF +10% (8s)]/[DEF +20% (8s)]/[DEF +30% (8s)] at the beginning of the battle","S","50","36","50","","50","","","100","S","99","62","194","","194","","","100","22353098","✓"
"Zidane","IX","4","P","Zidane's Earring","Accessory","","","S","1","0","0","0","0","0","0","0","HP +500
Prismatic resistance (moderate)","Quick Cast 4/5/6/7/8%","S","1","","","","","","","","S","1","","","","","","","","23380234","✓"
"Vivi","IX","4","P","Black Mage Staff","Staff","","","S","50","0","0","258","0","0","95","0","Hand of Vengeance 5
Prismatic damage +20%","Fire/Ice/Lightning +1/2/3/4/5% Boost
Quick Cast 3/4/5%
Grants [MAG +10% (8s)]/[MAG +20% (8s)]/[MAG +30% (8s)] at the beginning of the battle","S","50","","","165","","","95","","S","99","","","350","","","95","","21309055","✓"
"Vivi","IX","4","P","Vivi's Hat","Hat","","","S","50","0","101","60","143","0","0","105","Empower Healing 5%
Prismatic damage +20%","Fire/Ice/Lightning Ability +1/2/3/4/5% Boost
Grants [20% Damage Reduction Barrier 1 Follow-Up]/[30% Damage Reduction Barrier 1 Follow-Up]/[40% Damage Reduction Barrier 1 Follow-Up] at the beginning of the battle
Grants [RES +10% (8s)]/[RES +20% (8s)]/[RES +30% (8s)] at the beginning of the battle","S","50","","61","49","76","","","105","S","99","","140","70","210","","","105","22351074","✓"
"Vivi","IX","4","P","Ticket","Accessory","","","S","1","0","0","0","0","0","0","0","HP +500
Prismatic resistance (moderate)","Quick Cast 4/5/6/7/8%","S","1","","","","","","","","S","1","","","","","","","","23380593","✓"
"Amarant","IX","4","P","Rune Claws","Fist","","","S","50","266","0","0","0","0","95","0","Deadly Strikes 5
Prismatic damage +20%","Fire +1/2/3/4/5% Boost
Quick Cast 3/4/5%
Grants [ATK +10% (8s)]/[ATK +20% (8s)]/[ATK +30% (8s)] at the beginning of the battle","S","50","172","","","","","95","","S","99","360","","","","","95","","21307254","✓"
"Amarant","IX","4","P","Amarant's Suit","Light Armor","","","S","50","49","122","0","122","0","0","100","Precise Strike 5
Prismatic damage +20%","Fire Ability +1/2/3/4/5% Boost
Grants [20% Damage Reduction Barrier 1 Follow-Up]/[30% Damage Reduction Barrier 1 Follow-Up]/[40% Damage Reduction Barrier 1 Follow-Up] at the beginning of the battle
Grants [DEF +10% (8s)]/[DEF +20% (8s)]/[DEF +30% (8s)] at the beginning of the battle","S","50","36","50","","50","","","100","S","99","62","194","","194","","","100","22353225","✓"
"Amarant","IX","4","P","Black Belt","Accessory","","","S","1","0","0","0","0","0","0","0","HP +500
Prismatic resistance (moderate)","Quick Cast 4/5/6/7/8%","S","1","","","","","","","","S","1","","","","","","","","23380043","✓"
"Kuja","IX","4","P","Rod of Death","Rod","","","S","50","0","0","258","0","0","95","0","Hand of Vengeance 5
Prismatic damage +20%","Dark +1/2/3/4/5% Boost
Quick Cast 3/4/5%
Grants [MAG +10% (8s)]/[MAG +20% (8s)]/[MAG +30% (8s)] at the beginning of the battle","S","50","","","165","","","95","","S","99","","","350","","","95","","21308336","✓"
"Kuja","IX","4","P","Kuja's Guise","Light Armor","","","S","50","0","122","49","122","0","0","100","Empower Healing 5%
Prismatic damage +20%","Dark Ability +1/2/3/4/5% Boost
Grants [20% Damage Reduction Barrier 1 Follow-Up]/[30% Damage Reduction Barrier 1 Follow-Up]/[40% Damage Reduction Barrier 1 Follow-Up] at the beginning of the battle
Grants [RES +10% (8s)]/[RES +20% (8s)]/[RES +30% (8s)] at the beginning of the battle","S","50","","50","36","50","","","100","S","99","","194","62","194","","","100","22353128","✓"
"Kuja","IX","4","P","Gulug Stone","Accessory","","","S","1","0","0","0","0","0","0","0","HP +500
Prismatic resistance (moderate)","Quick Cast 4/5/6/7/8%","S","1","","","","","","","","S","1","","","","","","","","23380197","✓"
"Quina","IX","4","P","Gastro Fork","Spear","","","S","50","266","0","0","0","0","95","0","Deadly Strikes 5
Prismatic damage +20%","Earth/Water/Poison +1/2/3/4/5% Boost
Quick Cast 3/4/5%
Grants [ATK +10% (8s)]/[ATK +20% (8s)]/[ATK +30% (8s)] at the beginning of the battle","S","50","172","","","","","95","","S","99","360","","","","","95","","21306068","✓"
"Quina","IX","4","P","Quina's Toque Blanche","Hat","","","S","50","49","101","0","143","0","0","105","Precise Strike 5
Prismatic damage +20%","Earth/Water/Poison Ability +1/2/3/4/5% Boost
Grants [20% Damage Reduction Barrier 1 Follow-Up]/[30% Damage Reduction Barrier 1 Follow-Up]/[40% Damage Reduction Barrier 1 Follow-Up] at the beginning of the battle
Grants [DEF +10% (8s)]/[DEF +20% (8s)]/[DEF +30% (8s)] at the beginning of the battle","S","50","36","61","","76","","","105","S","99","62","140","","210","","","105","22351163","✓"
"Quina","IX","4","P","Glass Buckle","Accessory","","","S","1","0","0","0","0","0","0","0","HP +500
Prismatic resistance (moderate)","Quick Cast 4/5/6/7/8%","S","1","","","","","","","","S","1","","","","","","","","23380430","✓"
"Braska","X","2","E","Braska's Staff","Staff","","","S","50","0","0","258","0","0","95","0","Hand of Vengeance 5
Prismatic damage +20%","Fire +1/2/3/4/5% Boost
Quick Cast 3/4/5%
Grants [MAG +10% (8s)]/[MAG +20% (8s)]/[MAG +30% (8s)] at the beginning of the battle","S","50","","","165","","","95","","S","99","","","350","","","95","","21309059","✓"
"Braska","X","2","E","High Summoner's Helm","Hat","","","S","50","0","101","60","143","0","0","105","Empower Healing 5%
Prismatic damage +20%","Fire Ability +1/2/3/4/5% Boost
Grants [20% Damage Reduction Barrier 1 Follow-Up]/[30% Damage Reduction Barrier 1 Follow-Up]/[40% Damage Reduction Barrier 1 Follow-Up] at the beginning of the battle
Grants [RES +10% (8s)]/[RES +20% (8s)]/[RES +30% (8s)] at the beginning of the battle","S","50","","61","49","76","","","105","S","99","","140","70","210","","","105","22351093","✓"
"Braska","X","2","E","Final Aeon Pendant","Accessory","","","S","1","0","0","0","0","0","0","0","HP +500
Prismatic resistance (moderate)","Quick Cast 4/5/6/7/8%","S","1","","","","","","","","S","1","","","","","","","","23380208","✓"
"Paine","X","2","F","Sword of Paine","Sword","","","S","50","266","0","0","0","0","95","0","Deadly Strikes 5
Prismatic damage +20%","Water +1/2/3/4/5% Boost
Quick Cast 3/4/5%
Grants [ATK +10% (8s)]/[ATK +20% (8s)]/[ATK +30% (8s)] at the beginning of the battle","S","50","172","","","","","95","","S","99","360","","","","","95","","21302173","✓"
"Paine","X","2","F","Paine's Guise","Light Armor","","","S","50","49","122","0","122","0","0","100","Precise Strike 5
Prismatic damage +20%","Water Ability +1/2/3/4/5% Boost
Grants [20% Damage Reduction Barrier 1 Follow-Up]/[30% Damage Reduction Barrier 1 Follow-Up]/[40% Damage Reduction Barrier 1 Follow-Up] at the beginning of the battle
Grants [DEF +10% (8s)]/[DEF +20% (8s)]/[DEF +30% (8s)] at the beginning of the battle","S","50","36","50","","50","","","100","S","99","62","194","","194","","","100","22353178","✓"
"Paine","X","2","F","Paine's Necklace","Accessory","","","S","1","0","0","0","0","0","0","0","HP +500
Prismatic resistance (moderate)","Quick Cast 4/5/6/7/8%","S","1","","","","","","","","S","1","","","","","","","","23380497","✓"
"Rikku","X","2","F","Godhand","Fist","","","S","50","266","0","0","0","0","95","0","Deadly Strikes 5
Prismatic damage +20%","Water +1/2/3/4/5% Boost
Quick Cast 3/4/5%
Grants [ATK +10% (8s)]/[ATK +20% (8s)]/[ATK +30% (8s)] at the beginning of the battle","S","50","172","","","","","95","","S","99","360","","","","","95","","21307249","✓"
"Rikku","X","2","F","Dreadnought","Bracer","","","S","50","70","117","0","100","0","0","105","Precise Strike 5
Prismatic damage +20%","Water Ability +1/2/3/4/5% Boost
Grants [20% Damage Reduction Barrier 1 Follow-Up]/[30% Damage Reduction Barrier 1 Follow-Up]/[40% Damage Reduction Barrier 1 Follow-Up] at the beginning of the battle
Grants [DEF +10% (8s)]/[DEF +20% (8s)]/[DEF +30% (8s)] at the beginning of the battle","S","50","61","79","","45","","","105","S","99","79","155","","155","","","105","22356391","✓"
"Rikku","X","2","F","Rikku's Hairpin","Accessory","","","S","1","0","0","0","0","0","0","0","HP +500
Prismatic resistance (moderate)","Quick Cast 4/5/6/7/8%","S","1","","","","","","","","S","1","","","","","","","","23380548","✓"
"Wakka","X","2","F","World Champion","Blitzball","","","S","50","253","0","0","0","0","95","0","Deadly Strikes 5
Prismatic damage +20%","Water +1/2/3/4/5% Boost
Quick Cast 3/4/5%
Grants [ATK +10% (8s)]/[ATK +20% (8s)]/[ATK +30% (8s)] at the beginning of the battle","S","50","160","","","","","95","","S","99","346","","","","","95","","21330022","✓"
"Wakka","X","2","F","Indomitable","Bracer","","","S","50","70","117","0","100","0","0","105","Precise Strike 5
Prismatic damage +20%","Water Ability +1/2/3/4/5% Boost
Grants [20% Damage Reduction Barrier 1 Follow-Up]/[30% Damage Reduction Barrier 1 Follow-Up]/[40% Damage Reduction Barrier 1 Follow-Up] at the beginning of the battle
Grants [DEF +10% (8s)]/[DEF +20% (8s)]/[DEF +30% (8s)] at the beginning of the battle","S","50","61","79","","45","","","105","S","99","79","155","","155","","","105","22356381","✓"
"Wakka","X","2","F","Wakka's Bandana","Accessory","","","S","1","0","0","0","0","0","0","0","HP +500
Prismatic resistance (moderate)","Quick Cast 4/5/6/7/8%","S","1","","","","","","","","S","1","","","","","","","","23380117","✓"
